cluster_rep	cluster_size	chosen_fasta_id	reason	beta_res	helix_res	beta_strands	helices
6Q7M_EMD-4470_A	2	6Q7M_EMD-4470_A	residue_sum=340	93	247	33	25
6ROW_EMD-4975_A	1	6ROW_EMD-4975_A	singleton	20	316	8	29
6ROW_EMD-4975_E	1	6ROW_EMD-4975_E	singleton	74	25	24	4
6ROW_EMD-4975_G	1	6ROW_EMD-4975_G	singleton	18	44	7	6
6RRT_EMD-4990_A	1	6RRT_EMD-4990_A	singleton	59	23	6	3
6RWY_EMD-10046_BA	1	6RWY_EMD-10046_BA	singleton	0	173	0	12
6RWY_EMD-10046_CA	1	6RWY_EMD-10046_CA	singleton	0	73	0	2
6RWY_EMD-10046_L	1	6RWY_EMD-10046_L	singleton	0	66	0	2
6RWY_EMD-10046_W	1	6RWY_EMD-10046_W	singleton	0	154	0	10
6S2F_EMD-10089_A	1	6S2F_EMD-10089_A	singleton	219	411	45	32
6S2F_EMD-10089_B	1	6S2F_EMD-10089_B	singleton	84	131	17	15
6S2F_EMD-10089_C	1	6S2F_EMD-10089_C	singleton	10	4	2	1
6S2F_EMD-10089_D	1	6S2F_EMD-10089_D	singleton	71	14	9	2
6SB5_EMD-10135_A	1	6SB5_EMD-10135_A	singleton	167	67	31	7
6SH5_EMD-10194_A	1	6SH5_EMD-10194_A	singleton	81	117	14	14
6SIH_EMD-10210_A	2	9GSX_EMD-51557_W	residue_sum=396	140	256	40	16
6SO3_EMD-7029_A	1	6SO3_EMD-7029_A	singleton	87	222	22	26
6SO3_EMD-7029_B	1	6SO3_EMD-7029_B	singleton	93	312	27	33
6SO3_EMD-7029_C	1	6SO3_EMD-7029_C	singleton	6	54	4	7
6SZA_EMD-10351_A	5	6SZA_EMD-10351_A	residue_sum=265	69	196	24	17
6T6V_EMD-10387_A	1	6T6V_EMD-10387_A	singleton	15	446	7	35
6T7S_EMD-10371_A	1	6T7S_EMD-10371_A	singleton	165	432	38	49
6TA4_EMD-10422_C	1	6TA4_EMD-10422_C	singleton	77	115	17	10
6TML_EMD-10525_AB	1	6TML_EMD-10525_AB	singleton	1	3	1	1
6TML_EMD-10525_AC	1	6TML_EMD-10525_AC	singleton	3	0	1	0
6TML_EMD-10525_AI	1	6TML_EMD-10525_AI	singleton	6	0	1	0
6TML_EMD-10525_D	1	6TML_EMD-10525_D	singleton	0	1	0	1
6TML_EMD-10525_DI	1	6TML_EMD-10525_DI	singleton	0	6	0	1
6TML_EMD-10525_E	1	6TML_EMD-10525_E	singleton	0	6	0	1
6TMW_EMD-10529_A	2	6TMX_EMD-10530_A	residue_sum=363	78	285	26	24
6TY3_EMD-10615_A	2	6TY4_EMD-10616_A	residue_sum=326	101	225	29	22
6TZA_EMD-20591_A	1	6TZA_EMD-20591_A	singleton	0	140	0	9
6U1S_EMD-20613_A	1	6U1S_EMD-20613_A	singleton	0	277	0	8
6U68_EMD-20662_A	6	6U68_EMD-20662_A	residue_sum=201	49	152	12	13
6UBY_EMD-20721_I	2	6UC0_EMD-20724_H	residue_sum=91	47	44	15	7
6UVT_EMD-20916_A	1	6UVT_EMD-20916_A	singleton	10	99	3	8
6UXV_EMD-20933_A	1	6UXV_EMD-20933_A	singleton	0	79	0	3
6UXV_EMD-20933_B	1	6UXV_EMD-20933_B	singleton	6	258	4	21
6UXV_EMD-20933_C	1	6UXV_EMD-20933_C	singleton	33	66	8	7
6UXV_EMD-20933_D	1	6UXV_EMD-20933_D	singleton	2	66	1	8
6UXV_EMD-20933_H	1	6UXV_EMD-20933_H	singleton	7	160	3	11
6UXV_EMD-20933_I	1	6UXV_EMD-20933_I	singleton	0	56	0	5
6UZC_EMD-20956_A	1	6UZC_EMD-20956_A	singleton	121	112	29	14
6UZC_EMD-20956_EA	1	6UZC_EMD-20956_EA	singleton	64	220	18	16
6V86_EMD-21096_A	1	6V86_EMD-21096_A	singleton	98	909	33	82
6V86_EMD-21096_B	1	6V86_EMD-21096_B	singleton	0	61	0	2
6V9I_EMD-21121_A	1	6V9I_EMD-21121_A	singleton	61	492	15	34
6V9I_EMD-21121_B	1	6V9I_EMD-21121_B	singleton	28	12	8	2
6VAB_EMD-21135_B	2	6VAC_EMD-21136_A	residue_sum=528	0	528	0	37
6VE4_EMD-21154_A	1	6VE4_EMD-21154_A	singleton	168	52	14	7
6VEJ_EMD-21363_A	1	6VEJ_EMD-21363_A	singleton	152	522	37	36
6VEJ_EMD-21363_D	1	6VEJ_EMD-21363_D	singleton	43	7	16	2
6VFI_EMD-21173_A	1	6VFI_EMD-21173_A	singleton	0	163	0	8
6VFI_EMD-21173_B	1	6VFI_EMD-21173_B	singleton	0	93	0	7
6VFJ_EMD-21174_A	1	6VFJ_EMD-21174_A	singleton	29	74	7	6
6VFJ_EMD-21174_B	1	6VFJ_EMD-21174_B	singleton	0	96	0	7
6VL6_EMD-21231_A	1	6VL6_EMD-21231_A	singleton	0	95	0	7
6VL6_EMD-21231_B	1	6VL6_EMD-21231_B	singleton	0	79	0	6
6VM4_EMD-21238_A	6	6VM4_EMD-21238_A	residue_sum=303	94	209	23	19
6VM4_EMD-21238_D	6	6VM4_EMD-21238_D	residue_sum=268	82	186	25	17
6VM4_EMD-21238_J	6	6VMG_EMD-21241_C	residue_sum=291	96	195	23	19
6VM4_EMD-21238_K	6	6VMG_EMD-21241_E	residue_sum=271	88	183	24	20
6VM4_EMD-21238_L	6	6VMG_EMD-21241_F	residue_sum=281	102	179	23	18
6VM4_EMD-21238_M	5	6VM1_EMD-21235_M	residue_sum=69	0	69	0	2
6VOF_EMD-21262_J	5	6VMG_EMD-21241_B	residue_sum=294	84	210	21	19
6VOF_EMD-21262_K	5	6VMG_EMD-21241_D	residue_sum=267	89	178	19	15
6VOF_EMD-21262_L	5	6VMG_EMD-21241_A	residue_sum=300	76	224	23	21
6VQJ_EMD-21352_A	3	6VQK_EMD-21353_A	residue_sum=241	52	189	13	11
6VQJ_EMD-21352_B	3	9BRR_EMD-44841_R	residue_sum=94	0	94	0	2
6VQJ_EMD-21352_E	3	9BRR_EMD-44841_U	residue_sum=263	0	263	0	26
6VQJ_EMD-21352_H	3	9BRR_EMD-44841_BA	residue_sum=492	44	448	14	24
6VY0_EMD-21454_A	1	6VY0_EMD-21454_A	singleton	29	235	8	17
6VY1_EMD-21455_A	1	6VY1_EMD-21455_A	singleton	18	77	4	2
6VYV_EMD-21473_A	1	6VYV_EMD-21473_A	singleton	116	10	30	2
6VYV_EMD-21473_E	1	6VYV_EMD-21473_E	singleton	106	8	34	2
6W09_EMD-21496_A	1	6W09_EMD-21496_A	singleton	166	13	39	3
6W09_EMD-21496_E	1	6W09_EMD-21496_E	singleton	138	6	31	2
6W09_EMD-21496_Q	1	6W09_EMD-21496_Q	singleton	6	20	2	3
6W19_EMD-21504_A	1	6W19_EMD-21504_A	singleton	238	476	61	59
6W19_EMD-21504_GA	1	6W19_EMD-21504_GA	singleton	84	88	16	11
6W19_EMD-21504_MA	1	6W19_EMD-21504_MA	singleton	63	120	15	11
6W19_EMD-21504_Q	1	6W19_EMD-21504_Q	singleton	0	44	0	4
6W1C_EMD-21509_A	2	6W2U_EMD-21532_A	residue_sum=163	147	16	33	4
6W1C_EMD-21509_E	2	6W2U_EMD-21532_E	residue_sum=130	125	5	33	1
6W1C_EMD-21509_I	3	6W1C_EMD-21509_I	residue_sum=103	100	3	23	1
6W1C_EMD-21509_J	4	7JTI_EMD-22474_A	residue_sum=170	60	110	13	11
6W4O_EMD-21535_M	4	6W4P_EMD-21536_A	residue_sum=98	59	39	6	4
6WC7_EMD-21602_A	1	6WC7_EMD-21602_A	singleton	2	82	2	7
6WC7_EMD-21602_B	1	6WC7_EMD-21602_B	singleton	2	82	2	7
6WCJ_EMD-21611_A	1	6WCJ_EMD-21611_A	singleton	0	296	0	26
6WCJ_EMD-21611_B	1	6WCJ_EMD-21611_B	singleton	0	91	0	4
6WFS_EMD-21653_A	2	6W0K_EMD-21497_A	residue_sum=77	0	77	0	6
6WGF_EMD-21664_A	1	6WGF_EMD-21664_A	singleton	109	170	27	17
6WGF_EMD-21664_B	1	6WGF_EMD-21664_B	singleton	122	184	30	20
6WGF_EMD-21664_C	1	6WGF_EMD-21664_C	singleton	101	191	24	20
6WGF_EMD-21664_D	1	6WGF_EMD-21664_D	singleton	107	244	24	21
6WGF_EMD-21664_E	1	6WGF_EMD-21664_E	singleton	116	226	24	26
6WGF_EMD-21664_F	1	6WGF_EMD-21664_F	singleton	106	183	26	19
6WJD_EMD-21691_AA	4	7QYA_EMD-14210_Z	residue_sum=152	28	124	13	7
6WJD_EMD-21691_B	4	6WJD_EMD-21691_B	residue_sum=194	36	158	17	16
6WJD_EMD-21691_BA	4	6WJD_EMD-21691_BA	residue_sum=136	74	62	13	4
6WJD_EMD-21691_C	4	6WJD_EMD-21691_C	residue_sum=186	47	139	13	18
6WJD_EMD-21691_CA	4	6WJN_EMD-21696_U	residue_sum=447	18	429	8	41
6WJD_EMD-21691_DA	4	6WJN_EMD-21696_V	residue_sum=284	4	280	2	25
6WJD_EMD-21691_EA	4	6WJN_EMD-21696_W	residue_sum=264	4	260	4	22
6WJD_EMD-21691_FA	4	6WJN_EMD-21696_X	residue_sum=230	9	221	3	20
6WJD_EMD-21691_G	4	7QYA_EMD-14210_A	residue_sum=186	46	140	14	14
6WJD_EMD-21691_O	4	6WJN_EMD-21696_PA	residue_sum=149	19	130	7	13
6WJD_EMD-21691_P	4	6WJN_EMD-21696_QA	residue_sum=166	33	133	8	13
6WJD_EMD-21691_Q	4	6WJN_EMD-21696_RA	residue_sum=196	43	153	13	13
6WJD_EMD-21691_T	4	6WJD_EMD-21691_T	residue_sum=134	63	71	14	6
6WJD_EMD-21691_V	4	7QYA_EMD-14210_U	residue_sum=460	21	439	11	47
6WJD_EMD-21691_W	4	6WJD_EMD-21691_W	residue_sum=286	11	275	4	27
6WJD_EMD-21691_Y	4	7QYA_EMD-14210_X	residue_sum=255	0	255	0	20
6WJF_EMD-21692_A	5	9DW7_EMD-47237_A	residue_sum=839	95	744	23	50
6WJF_EMD-21692_C	2	6WJF_EMD-21692_C	residue_sum=116	44	72	21	8
6WKK_EMD-21695_A	1	6WKK_EMD-21695_A	singleton	74	69	15	8
6WKK_EMD-21695_G	1	6WKK_EMD-21695_G	singleton	27	0	12	0
6WOV_EMD-21862_A	1	6WOV_EMD-21862_A	singleton	267	1700	93	143
6X0V_EMD-21985_A	3	9QVM_EMD-53399_TA	residue_sum=38	1	37	1	3
6X0V_EMD-21985_C	2	9H9P_EMD-21985_A	residue_sum=30	0	30	0	1
6X34_EMD-22017_B	1	6X34_EMD-22017_B	singleton	356	1806	115	141
6X36_EMD-22019_A	12	8RRT_EMD-19464_E	residue_sum=2749	464	2285	121	180
6X36_EMD-22019_B	1	6X36_EMD-22019_B	singleton	337	1766	102	145
6XE6_EMD-22144_A	1	6XE6_EMD-22144_A	singleton	8	465	8	26
6XF7_EMD-22165_A	5	6XF7_EMD-22165_A	residue_sum=548	163	385	41	38
6XF8_EMD-22166_I	2	6ZTZ_EMD-22166_G	residue_sum=588	289	299	88	31
6XJX_EMD-22216_A	1	6XJX_EMD-22216_A	singleton	0	125	0	5
6XJX_EMD-22216_B	1	6XJX_EMD-22216_B	singleton	2	26	2	1
6XJX_EMD-22216_I	1	6XJX_EMD-22216_I	singleton	20	197	11	17
6XJX_EMD-22216_J	1	6XJX_EMD-22216_J	singleton	16	158	8	16
6XKW_EMD-22227_D	1	6XKW_EMD-22227_D	singleton	13	82	9	7
6XKX_EMD-22228_A	3	6XKW_EMD-22227_F	residue_sum=80	39	41	10	4
6XKX_EMD-22228_B	3	6XKW_EMD-22227_G	residue_sum=258	0	258	0	18
6XKX_EMD-22228_C	3	6XKX_EMD-22228_C	residue_sum=258	0	258	0	18
6XKZ_EMD-22230_G	3	6XKW_EMD-22227_A	residue_sum=359	9	350	5	16
6XKZ_EMD-22230_H	3	6XKW_EMD-22227_B	residue_sum=101	1	100	1	13
6XKZ_EMD-22230_I	4	6XKW_EMD-22227_C	residue_sum=258	0	258	0	18
6XOW_EMD-22282_A	1	6XOW_EMD-22282_A	singleton	186	458	35	42
6XPF_EMD-22287_A	1	6XPF_EMD-22287_A	singleton	22	179	4	9
6XRE_EMD-22294_A	1	6XRE_EMD-22294_A	singleton	146	549	52	59
6XRE_EMD-22294_B	1	6XRE_EMD-22294_B	singleton	159	286	61	36
6XRE_EMD-22294_C	1	6XRE_EMD-22294_C	singleton	71	56	12	5
6XRE_EMD-22294_D	1	6XRE_EMD-22294_D	singleton	4	84	3	9
6XRE_EMD-22294_E	1	6XRE_EMD-22294_E	singleton	39	84	13	11
6XRE_EMD-22294_F	1	6XRE_EMD-22294_F	singleton	12	25	4	2
6XRE_EMD-22294_G	1	6XRE_EMD-22294_G	singleton	79	19	16	3
6XRE_EMD-22294_H	1	6XRE_EMD-22294_H	singleton	56	3	12	1
6XRE_EMD-22294_I	1	6XRE_EMD-22294_I	singleton	29	6	8	2
6XRE_EMD-22294_J	1	6XRE_EMD-22294_J	singleton	0	38	0	5
6XRE_EMD-22294_K	1	6XRE_EMD-22294_K	singleton	27	44	4	3
6XRE_EMD-22294_L	1	6XRE_EMD-22294_L	singleton	5	0	2	0
6XRE_EMD-22294_M	1	6XRE_EMD-22294_M	singleton	44	40	10	7
6XTY_EMD-10621_A	1	6XTY_EMD-10621_A	singleton	16	90	7	7
6XTY_EMD-10621_B	1	6XTY_EMD-10621_B	singleton	18	85	7	9
6XTY_EMD-10621_C	1	6XTY_EMD-10621_C	singleton	14	67	3	11
6XTY_EMD-10621_D	1	6XTY_EMD-10621_D	singleton	24	92	5	10
6XTY_EMD-10621_E	1	6XTY_EMD-10621_E	singleton	76	212	22	21
6XTY_EMD-10621_F	1	6XTY_EMD-10621_F	singleton	143	93	25	8
6XTY_EMD-10621_G	1	6XTY_EMD-10621_G	singleton	143	93	25	8
6XTY_EMD-10621_H	1	6XTY_EMD-10621_H	singleton	143	93	25	8
6XTY_EMD-10621_I	1	6XTY_EMD-10621_I	singleton	14	67	3	11
6XTY_EMD-10621_J	1	6XTY_EMD-10621_J	singleton	24	92	5	10
6XTY_EMD-10621_K	1	6XTY_EMD-10621_K	singleton	76	212	22	21
6XTY_EMD-10621_L	1	6XTY_EMD-10621_L	singleton	143	93	25	8
6Y92_EMD-10732_A	1	6Y92_EMD-10732_A	singleton	2	104	2	7
6Y92_EMD-10732_C	1	6Y92_EMD-10732_C	singleton	77	3	17	1
6Y9V_EMD-10738_G	4	6Y9V_EMD-10738_G	residue_sum=135	6	129	2	11
6YBT_EMD-10773_A	1	6YBT_EMD-10773_A	singleton	0	115	0	2
6YBT_EMD-10773_B	1	6YBT_EMD-10773_B	singleton	99	6	28	2
6YBT_EMD-10773_C	1	6YBT_EMD-10773_C	singleton	192	66	44	12
6YTX_EMD-10925_A	1	6YTX_EMD-10925_A	singleton	0	178	0	11
6YVD_EMD-10944_A	3	6YVD_EMD-10944_A	residue_sum=591	1	590	1	42
6YVD_EMD-10944_B	1	6YVD_EMD-10944_B	singleton	7	39	7	7
6YVD_EMD-10944_D	3	6YVU_EMD-10951_B	residue_sum=912	109	803	25	28
6YVU_EMD-10951_A	3	6YVU_EMD-10951_A	residue_sum=833	69	764	22	29
6YVU_EMD-10951_D	2	6YVU_EMD-10951_D	residue_sum=610	0	610	0	49
6Z05_EMD-11003_A	1	6Z05_EMD-11003_A	singleton	125	65	29	10
6Z12_EMD-4460_A	1	6Z12_EMD-4460_A	singleton	169	521	33	38
6Z2K_EMD-11042_A	3	7AO8_EMD-11837_D	residue_sum=151	54	97	9	11
6Z2K_EMD-11042_E	1	6Z2K_EMD-11042_E	singleton	41	143	14	15
6Z2K_EMD-11042_I	1	6Z2K_EMD-11042_I	singleton	43	143	16	15
6Z3W_EMD-11058_B	1	6Z3W_EMD-11058_B	singleton	0	208	0	14
6Z3W_EMD-11058_C	1	6Z3W_EMD-11058_C	singleton	0	148	0	8
6Z3W_EMD-11058_D	1	6Z3W_EMD-11058_D	singleton	0	67	0	3
6Z3W_EMD-11058_E	1	6Z3W_EMD-11058_E	singleton	0	51	0	2
6Z3W_EMD-11058_F	1	6Z3W_EMD-11058_F	singleton	0	69	0	5
6Z3W_EMD-11058_G	1	6Z3W_EMD-11058_G	singleton	22	16	6	1
6Z3W_EMD-11058_H	1	6Z3W_EMD-11058_H	singleton	18	67	7	7
6Z3W_EMD-11058_I	1	6Z3W_EMD-11058_I	singleton	46	31	11	3
6Z47_EMD-11069_A	1	6Z47_EMD-11069_A	singleton	111	479	24	32
6Z47_EMD-11069_C	2	9SZR_EMD-55382_C	residue_sum=89	8	81	4	9
6Z47_EMD-11069_E	2	6Z47_EMD-11069_E	residue_sum=94	7	87	5	10
6Z5J_EMD-11078_A	1	6Z5J_EMD-11078_A	singleton	0	107	0	10
6ZD0_EMD-11172_A	1	6ZD0_EMD-11172_A	singleton	170	99	27	16
6ZD0_EMD-11172_B	1	6ZD0_EMD-11172_B	singleton	26	7	6	1
6ZG0_EMD-11190_A	1	6ZG0_EMD-11190_A	singleton	0	92	0	11
6ZGA_EMD-11199_A	1	6ZGA_EMD-11199_A	singleton	153	234	38	25
6ZGA_EMD-11199_B	1	6ZGA_EMD-11199_B	singleton	132	230	37	24
6ZGA_EMD-11199_C	2	6ZGA_EMD-11199_G	residue_sum=89	40	49	8	6
6ZIU_EMD-11230_A	1	6ZIU_EMD-11230_A	singleton	0	27	0	2
6ZIU_EMD-11230_B	1	6ZIU_EMD-11230_B	singleton	1	171	1	10
6ZIU_EMD-11230_C	1	6ZIU_EMD-11230_C	singleton	34	11	7	1
6ZIU_EMD-11230_D	1	6ZIU_EMD-11230_D	singleton	0	34	0	1
6ZIU_EMD-11230_E	2	6ZIU_EMD-11230_E	residue_sum=47	1	46	1	4
6ZIU_EMD-11230_F	1	6ZIU_EMD-11230_F	singleton	1	61	1	4
6ZIU_EMD-11230_G	1	6ZIU_EMD-11230_G	singleton	0	40	0	3
6ZIU_EMD-11230_I	1	6ZIU_EMD-11230_I	singleton	0	35	0	2
6ZIU_EMD-11230_J	1	6ZIU_EMD-11230_J	singleton	20	69	5	5
6ZIU_EMD-11230_K	1	6ZIU_EMD-11230_K	singleton	34	11	7	1
6ZJN_EMD-11237_B	2	6ZJN_EMD-11237_B	residue_sum=101	23	78	6	7
6ZJN_EMD-11237_C	2	6ZJN_EMD-11237_C	residue_sum=346	146	200	39	30
6ZJN_EMD-11237_D	2	6ZJN_EMD-11237_D	residue_sum=228	46	182	10	18
6ZJN_EMD-11237_E	2	6ZJY_EMD-11238_E	residue_sum=83	46	37	11	5
6ZJN_EMD-11237_F	2	6ZJY_EMD-11238_F	residue_sum=81	24	57	8	7
6ZJN_EMD-11237_G	2	6ZJY_EMD-11238_G	residue_sum=76	34	42	11	6
6ZJN_EMD-11237_H	2	6ZJY_EMD-11238_H	residue_sum=229	2	227	2	11
6ZJN_EMD-11237_I	2	6ZJY_EMD-11238_I	residue_sum=76	0	76	0	3
6ZJN_EMD-11237_N	2	6ZJY_EMD-11238_N	residue_sum=322	6	316	6	22
6ZJN_EMD-11237_O	2	6ZJY_EMD-11238_O	residue_sum=229	2	227	2	11
6ZJY_EMD-11238_A	2	6ZJY_EMD-11238_A	residue_sum=76	0	76	0	3
6ZJY_EMD-11238_J	2	6ZJN_EMD-11237_J	residue_sum=115	2	113	2	6
6ZJY_EMD-11238_K	2	6ZJY_EMD-11238_K	residue_sum=76	0	76	0	4
6ZJY_EMD-11238_L	2	6ZJY_EMD-11238_L	residue_sum=448	18	430	5	25
6ZJY_EMD-11238_M	2	6ZJN_EMD-11237_M	residue_sum=351	17	334	8	23
6ZM1_EMD-11277_A	1	6ZM1_EMD-11277_A	singleton	26	205	17	22
6ZM1_EMD-11277_B	1	6ZM1_EMD-11277_B	singleton	366	65	79	13
6ZNA_EMD-0667_K	2	6ZIU_EMD-11230_H	residue_sum=177	4	173	2	5
6ZPH_EMD-11339_B	3	6ZPI_EMD-11340_A	residue_sum=251	70	181	15	14
6ZQW_EMD-11372_A	1	6ZQW_EMD-11372_A	singleton	177	95	35	11
6ZQW_EMD-11372_B	1	6ZQW_EMD-11372_B	singleton	34	0	7	0
6ZTY_EMD-22164_A	3	6XF8_EMD-22166_A	residue_sum=630	296	334	89	35
6ZTY_EMD-22164_D	4	6XF8_EMD-22166_B	residue_sum=553	156	397	41	42
6ZTZ_EMD-22166_C	2	6ZTZ_EMD-22166_C	residue_sum=470	127	343	43	31
7AL3_EMD-11815_A	1	7AL3_EMD-11815_A	singleton	56	26	17	6
7AL3_EMD-11815_B	1	7AL3_EMD-11815_B	singleton	71	32	13	6
7AL3_EMD-11815_C	1	7AL3_EMD-11815_C	singleton	96	30	21	6
7AO8_EMD-11837_A	2	7AO8_EMD-11837_A	residue_sum=151	54	97	9	11
7AO8_EMD-11837_B	2	7AO8_EMD-11837_B	residue_sum=195	49	146	16	15
7AOD_EMD-11841_A	1	7AOD_EMD-11841_A	singleton	166	595	57	61
7AOD_EMD-11841_B	1	7AOD_EMD-11841_B	singleton	244	316	69	34
7AOD_EMD-11841_C	1	7AOD_EMD-11841_C	singleton	99	79	16	9
7AOD_EMD-11841_D	1	7AOD_EMD-11841_D	singleton	0	27	0	2
7AOD_EMD-11841_E	1	7AOD_EMD-11841_E	singleton	40	51	11	7
7AOD_EMD-11841_F	1	7AOD_EMD-11841_F	singleton	8	24	2	2
7AOD_EMD-11841_G	1	7AOD_EMD-11841_G	singleton	65	15	14	2
7AOD_EMD-11841_H	1	7AOD_EMD-11841_H	singleton	48	4	15	1
7AOD_EMD-11841_I	1	7AOD_EMD-11841_I	singleton	9	4	5	1
7AOD_EMD-11841_J	1	7AOD_EMD-11841_J	singleton	1	25	1	5
7AOD_EMD-11841_K	1	7AOD_EMD-11841_K	singleton	19	37	6	2
7AOD_EMD-11841_L	1	7AOD_EMD-11841_L	singleton	14	0	6	0
7AQO_EMD-11871_A	1	7AQO_EMD-11871_A	singleton	30	701	12	56
7AQO_EMD-11871_B	1	7AQO_EMD-11871_B	singleton	0	319	0	25
7AQO_EMD-11871_C	1	7AQO_EMD-11871_C	singleton	2	176	1	7
7AQO_EMD-11871_D	1	7AQO_EMD-11871_D	singleton	0	172	0	7
7AQO_EMD-11871_I	1	7AQO_EMD-11871_I	singleton	0	174	0	7
7AQO_EMD-11871_J	1	7AQO_EMD-11871_J	singleton	2	177	1	6
7ASL_EMD-11897_A	11	7ASL_EMD-11897_A	residue_sum=139	0	139	0	12
7B4M_EMD-12003_A	1	7B4M_EMD-12003_A	singleton	0	338	0	28
7B6E_EMD-12053_A	3	7B6E_EMD-12053_A	residue_sum=207	0	207	0	13
7B6H_EMD-12054_A	3	7B6H_EMD-12054_A	residue_sum=371	26	345	9	22
7B6R_EMD-12056_C	1	7B6R_EMD-12056_C	singleton	28	72	4	5
7B6R_EMD-12056_D	1	7B6R_EMD-12056_D	singleton	17	50	4	5
7B6R_EMD-12056_E	1	7B6R_EMD-12056_E	singleton	28	50	5	3
7B6R_EMD-12056_F	1	7B6R_EMD-12056_F	singleton	51	52	16	4
7B6R_EMD-12056_G	1	7B6R_EMD-12056_G	singleton	28	58	6	3
7B6R_EMD-12056_H	1	7B6R_EMD-12056_H	singleton	21	90	4	6
7B6R_EMD-12056_J	1	7B6R_EMD-12056_J	singleton	39	50	6	3
7BGJ_EMD-12181_A	1	7BGJ_EMD-12181_A	singleton	49	69	11	7
7BP0_EMD-30138_A	1	7BP0_EMD-30138_A	singleton	25	185	11	16
7BQT_EMD-30155_A	1	7BQT_EMD-30155_A	singleton	45	204	14	15
7BTR_EMD-30183_A	1	7BTR_EMD-30183_A	singleton	42	177	11	16
7BTR_EMD-30183_B	1	7BTR_EMD-30183_B	singleton	23	60	6	7
7BTR_EMD-30183_C	1	7BTR_EMD-30183_C	singleton	80	138	20	15
7BTR_EMD-30183_D	1	7BTR_EMD-30183_D	singleton	23	152	9	15
7BUA_EMD-30193_A	2	7BUA_EMD-30193_A	residue_sum=256	155	101	38	9
7BUA_EMD-30193_C	1	7BUA_EMD-30193_C	singleton	155	101	38	9
7BUA_EMD-30193_G	1	7BUA_EMD-30193_G	singleton	54	9	10	3
7BUA_EMD-30193_H	1	7BUA_EMD-30193_H	singleton	54	9	10	3
7BWA_EMD-30231_C	2	7BWA_EMD-30231_C	residue_sum=256	178	78	53	13
7BZW_EMD-30261_A	1	7BZW_EMD-30261_A	singleton	2	0	2	0
7CA3_EMD-30323_A	2	7CA5_EMD-30324_A	residue_sum=385	56	329	20	24
7CA3_EMD-30323_B	2	7CA3_EMD-30323_B	residue_sum=394	70	324	26	24
7CCS_EMD-30341_A	1	7CCS_EMD-30341_A	singleton	74	185	20	21
7CCS_EMD-30341_B	1	7CCS_EMD-30341_B	singleton	8	322	6	23
7CG3_EMD-30349_A	1	7CG3_EMD-30349_A	singleton	45	284	17	29
7CTF_EMD-30463_A	2	7CTF_EMD-30463_A	residue_sum=66	6	60	3	5
7CTF_EMD-30463_B	2	7CTF_EMD-30463_B	residue_sum=167	31	136	9	14
7CTF_EMD-30463_C	2	7CTG_EMD-30464_C	residue_sum=375	30	345	12	28
7CTF_EMD-30463_D	2	7CTF_EMD-30463_D	residue_sum=247	26	221	8	21
7CTF_EMD-30463_E	2	7CTF_EMD-30463_E	residue_sum=211	32	179	7	18
