rep_fasta_id	cluster_size	members
6PV6_EMD-20486_E	12	6PV6_EMD-20486_E,6WOV_EMD-21862_E,6X34_EMD-22017_A,6X36_EMD-22019_A,7CF9_EMD-30343_B,7JMF_EMD-22392_A,7JMG_EMD-22393_E,7JMH_EMD-22394_A,7JMI_EMD-22395_A,7JMJ_EMD-22396_A,8RRT_EMD-19464_E,8RRU_EMD-19465_A
6Q7M_EMD-4470_A	2	6Q7L_EMD-4469_A,6Q7M_EMD-4470_A
6ROW_EMD-4975_A	1	6ROW_EMD-4975_A
6ROW_EMD-4975_E	1	6ROW_EMD-4975_E
6ROW_EMD-4975_G	1	6ROW_EMD-4975_G
6RRT_EMD-4990_A	1	6RRT_EMD-4990_A
6RWY_EMD-10046_BA	1	6RWY_EMD-10046_BA
6RWY_EMD-10046_CA	1	6RWY_EMD-10046_CA
6RWY_EMD-10046_L	1	6RWY_EMD-10046_L
6RWY_EMD-10046_W	1	6RWY_EMD-10046_W
6S2F_EMD-10089_A	1	6S2F_EMD-10089_A
6S2F_EMD-10089_B	1	6S2F_EMD-10089_B
6S2F_EMD-10089_C	1	6S2F_EMD-10089_C
6S2F_EMD-10089_D	1	6S2F_EMD-10089_D
6SB5_EMD-10135_A	1	6SB5_EMD-10135_A
6SH5_EMD-10194_A	1	6SH5_EMD-10194_A
6SMX_EMD-10247_C	1	6SMX_EMD-10247_C
6SO3_EMD-7029_A	1	6SO3_EMD-7029_A
6SO3_EMD-7029_B	1	6SO3_EMD-7029_B
6SO3_EMD-7029_C	1	6SO3_EMD-7029_C
6SZA_EMD-10351_A	5	6Q7L_EMD-4469_U,6Q7L_EMD-4469_V,6Q7M_EMD-4470_U,6SZA_EMD-10351_A,6SZB_EMD-10352_A
6T6V_EMD-10387_A	1	6T6V_EMD-10387_A
6T7S_EMD-10371_A	1	6T7S_EMD-10371_A
6TA4_EMD-10422_C	1	6TA4_EMD-10422_C
6TBA_EMD-10443_A	1	6TBA_EMD-10443_A
6TBA_EMD-10443_AC	1	6TBA_EMD-10443_AC
6TBA_EMD-10443_AI	1	6TBA_EMD-10443_AI
6TBA_EMD-10443_AJ	1	6TBA_EMD-10443_AJ
6TBA_EMD-10443_AK	1	6TBA_EMD-10443_AK
6TBA_EMD-10443_BH	1	6TBA_EMD-10443_BH
6TBA_EMD-10443_BI	1	6TBA_EMD-10443_BI
6TBA_EMD-10443_BJ	1	6TBA_EMD-10443_BJ
6TBA_EMD-10443_KJ	1	6TBA_EMD-10443_KJ
6TBA_EMD-10443_LJ	1	6TBA_EMD-10443_LJ
6TBA_EMD-10443_MJ	1	6TBA_EMD-10443_MJ
6TML_EMD-10525_A	1	6TML_EMD-10525_A
6TML_EMD-10525_AB	1	6TML_EMD-10525_AB
6TML_EMD-10525_AC	1	6TML_EMD-10525_AC
6TML_EMD-10525_AF	1	6TML_EMD-10525_AF
6TML_EMD-10525_AI	1	6TML_EMD-10525_AI
6TML_EMD-10525_B	1	6TML_EMD-10525_B
6TML_EMD-10525_BC	1	6TML_EMD-10525_BC
6TML_EMD-10525_C	1	6TML_EMD-10525_C
6TML_EMD-10525_D	1	6TML_EMD-10525_D
6TML_EMD-10525_DI	1	6TML_EMD-10525_DI
6TML_EMD-10525_E	1	6TML_EMD-10525_E
6TML_EMD-10525_EF	1	6TML_EMD-10525_EF
6TML_EMD-10525_F	1	6TML_EMD-10525_F
6TML_EMD-10525_G	1	6TML_EMD-10525_G
6TML_EMD-10525_H	1	6TML_EMD-10525_H
6TML_EMD-10525_I	1	6TML_EMD-10525_I
6TML_EMD-10525_IE	1	6TML_EMD-10525_IE
6TML_EMD-10525_J	1	6TML_EMD-10525_J
6TML_EMD-10525_K	1	6TML_EMD-10525_K
6TML_EMD-10525_L	1	6TML_EMD-10525_L
6TML_EMD-10525_M	1	6TML_EMD-10525_M
6TML_EMD-10525_N	1	6TML_EMD-10525_N
6TML_EMD-10525_O	1	6TML_EMD-10525_O
6TML_EMD-10525_P	1	6TML_EMD-10525_P
6TML_EMD-10525_Q	1	6TML_EMD-10525_Q
6TML_EMD-10525_R	1	6TML_EMD-10525_R
6TML_EMD-10525_S	1	6TML_EMD-10525_S
6TML_EMD-10525_T	1	6TML_EMD-10525_T
6TML_EMD-10525_U	1	6TML_EMD-10525_U
6TML_EMD-10525_V	1	6TML_EMD-10525_V
6TML_EMD-10525_W	1	6TML_EMD-10525_W
6TML_EMD-10525_X	1	6TML_EMD-10525_X
6TMX_EMD-10530_A	2	6TMW_EMD-10529_A,6TMX_EMD-10530_A
6TY4_EMD-10616_A	2	6TY3_EMD-10615_A,6TY4_EMD-10616_A
6TZ9_EMD-20590_A	1	6TZ9_EMD-20590_A
6TZA_EMD-20591_A	1	6TZA_EMD-20591_A
6U1S_EMD-20613_A	1	6U1S_EMD-20613_A
6UC0_EMD-20724_H	2	6UBY_EMD-20721_I,6UC0_EMD-20724_H
6UVT_EMD-20916_A	1	6UVT_EMD-20916_A
6UX7_EMD-20930_A	6	6U68_EMD-20662_A,6U6E_EMD-20664_A,6U6H_EMD-20665_A,6UX7_EMD-20930_A,6UXA_EMD-20931_A,6UXB_EMD-20932_A
6UXV_EMD-20933_A	1	6UXV_EMD-20933_A
6UXV_EMD-20933_B	1	6UXV_EMD-20933_B
6UXV_EMD-20933_C	1	6UXV_EMD-20933_C
6UXV_EMD-20933_D	1	6UXV_EMD-20933_D
6UXV_EMD-20933_H	1	6UXV_EMD-20933_H
6UXV_EMD-20933_I	1	6UXV_EMD-20933_I
6UZC_EMD-20956_EA	1	6UZC_EMD-20956_EA
6V86_EMD-21096_A	1	6V86_EMD-21096_A
6V86_EMD-21096_B	1	6V86_EMD-21096_B
6V9I_EMD-21121_A	1	6V9I_EMD-21121_A
6V9I_EMD-21121_B	1	6V9I_EMD-21121_B
6VAC_EMD-21136_B	2	6VAC_EMD-21136_B,7U6F_EMD-24964_B
6VE4_EMD-21154_A	1	6VE4_EMD-21154_A
6VEJ_EMD-21363_A	1	6VEJ_EMD-21363_A
6VEJ_EMD-21363_D	1	6VEJ_EMD-21363_D
6VFI_EMD-21173_A	1	6VFI_EMD-21173_A
6VFI_EMD-21173_B	1	6VFI_EMD-21173_B
6VFJ_EMD-21174_A	1	6VFJ_EMD-21174_A
6VFJ_EMD-21174_B	1	6VFJ_EMD-21174_B
6VL6_EMD-21231_A	1	6VL6_EMD-21231_A
6VL6_EMD-21231_B	1	6VL6_EMD-21231_B
6VM1_EMD-21235_G	5	6VM1_EMD-21235_G,6VM4_EMD-21238_G,6VMB_EMD-21239_G,6VMG_EMD-21241_B,6VOF_EMD-21262_J
6VM1_EMD-21235_H	5	6VM1_EMD-21235_H,6VM4_EMD-21238_H,6VMB_EMD-21239_H,6VMG_EMD-21241_D,6VOF_EMD-21262_K
6VM1_EMD-21235_I	5	6VM1_EMD-21235_I,6VM4_EMD-21238_I,6VMB_EMD-21239_I,6VMG_EMD-21241_A,6VOF_EMD-21262_L
6VM1_EMD-21235_K	6	6VM1_EMD-21235_K,6VM4_EMD-21238_K,6VMB_EMD-21239_K,6VMD_EMD-21240_H,6VMG_EMD-21241_E,6VOF_EMD-21262_I
6VM1_EMD-21235_M	5	6VM1_EMD-21235_M,6VM4_EMD-21238_M,6VMB_EMD-21239_M,6VMG_EMD-21241_G,6VOF_EMD-21262_M
6VMD_EMD-21240_G	6	6VM1_EMD-21235_J,6VM4_EMD-21238_J,6VMB_EMD-21239_J,6VMD_EMD-21240_G,6VMG_EMD-21241_C,6VOF_EMD-21262_G
6VMD_EMD-21240_I	6	6VM1_EMD-21235_L,6VM4_EMD-21238_L,6VMB_EMD-21239_L,6VMD_EMD-21240_I,6VMG_EMD-21241_F,6VOF_EMD-21262_H
6VMG_EMD-21241_H	6	6VM1_EMD-21235_A,6VM4_EMD-21238_A,6VMB_EMD-21239_A,6VMD_EMD-21240_A,6VMG_EMD-21241_H,6VOF_EMD-21262_A
6VMG_EMD-21241_I	6	6VM1_EMD-21235_D,6VM4_EMD-21238_D,6VMB_EMD-21239_D,6VMD_EMD-21240_D,6VMG_EMD-21241_I,6VOF_EMD-21262_D
6VQK_EMD-21353_A	3	6VQJ_EMD-21352_A,6VQK_EMD-21353_A,9BRR_EMD-44841_Y
6VQK_EMD-21353_B	3	6VQJ_EMD-21352_B,6VQK_EMD-21353_B,9BRR_EMD-44841_R
6VQK_EMD-21353_E	3	6VQJ_EMD-21352_E,6VQK_EMD-21353_E,9BRR_EMD-44841_U
6VQK_EMD-21353_H	3	6VQJ_EMD-21352_H,6VQK_EMD-21353_H,9BRR_EMD-44841_BA
6VY0_EMD-21454_A	1	6VY0_EMD-21454_A
6VY1_EMD-21455_A	1	6VY1_EMD-21455_A
6VYV_EMD-21473_A	1	6VYV_EMD-21473_A
6VYV_EMD-21473_E	1	6VYV_EMD-21473_E
6VYV_EMD-21473_I	3	6VYV_EMD-21473_I,6W09_EMD-21496_I,6W1C_EMD-21509_I
6W09_EMD-21496_J	4	6VYV_EMD-21473_J,6W09_EMD-21496_J,6W1C_EMD-21509_J,7JTI_EMD-22474_A
6W09_EMD-21496_Q	1	6W09_EMD-21496_Q
6W0K_EMD-21497_A	2	6W0K_EMD-21497_A,6WFS_EMD-21653_A
6W19_EMD-21504_A	1	6W19_EMD-21504_A
6W19_EMD-21504_GA	1	6W19_EMD-21504_GA
6W19_EMD-21504_MA	1	6W19_EMD-21504_MA
6W19_EMD-21504_Q	1	6W19_EMD-21504_Q
6W2U_EMD-21532_A	2	6W1C_EMD-21509_A,6W2U_EMD-21532_A
6W2U_EMD-21532_E	2	6W1C_EMD-21509_E,6W2U_EMD-21532_E
6W4O_EMD-21535_M	4	6W4O_EMD-21535_A,6W4O_EMD-21535_M,6W4P_EMD-21536_A,6W4P_EMD-21536_M
6WBL_EMD-21592_A	5	6M68_EMD-30116_A,6WBK_EMD-21591_A,6WBL_EMD-21592_A,7WSV_EMD-32768_A,9HF2_EMD-52105_A
6WC7_EMD-21602_A	1	6WC7_EMD-21602_A
6WC7_EMD-21602_B	1	6WC7_EMD-21602_B
6WCJ_EMD-21611_A	1	6WCJ_EMD-21611_A
6WCJ_EMD-21611_B	1	6WCJ_EMD-21611_B
6WGF_EMD-21664_A	1	6WGF_EMD-21664_A
6WGF_EMD-21664_B	1	6WGF_EMD-21664_B
6WGF_EMD-21664_C	1	6WGF_EMD-21664_C
6WGF_EMD-21664_D	1	6WGF_EMD-21664_D
6WGF_EMD-21664_E	1	6WGF_EMD-21664_E
6WGF_EMD-21664_F	1	6WGF_EMD-21664_F
6WJD_EMD-21691_B	4	6WJD_EMD-21691_B,6WJN_EMD-21696_B,7QY7_EMD-14209_H,7QYA_EMD-14210_H
6WJD_EMD-21691_D	4	6WJD_EMD-21691_D,6WJN_EMD-21696_D,7QY7_EMD-14209_J,7QYA_EMD-14210_J
6WJD_EMD-21691_E	4	6WJD_EMD-21691_E,6WJN_EMD-21696_E,7QY7_EMD-14209_K,7QYA_EMD-14210_K
6WJD_EMD-21691_F	4	6WJD_EMD-21691_F,6WJN_EMD-21696_F,7QY7_EMD-14209_L,7QYA_EMD-14210_L
6WJD_EMD-21691_H	3	6WJD_EMD-21691_H,7QY7_EMD-14209_B,7QYA_EMD-14210_B
6WJD_EMD-21691_J	3	6WJD_EMD-21691_J,7QY7_EMD-14209_D,7QYA_EMD-14210_D
6WJD_EMD-21691_K	4	6WJD_EMD-21691_K,6WJN_EMD-21696_K,7QY7_EMD-14209_E,7QYA_EMD-14210_E
6WJD_EMD-21691_L	4	6WJD_EMD-21691_L,6WJN_EMD-21696_TA,7QY7_EMD-14209_F,7QYA_EMD-14210_F
6WJD_EMD-21691_M	4	6WJD_EMD-21691_M,6WJN_EMD-21696_NA,7QY7_EMD-14209_M,7QYA_EMD-14210_M
6WJF_EMD-21692_A	6	6WJF_EMD-21692_A,6WJG_EMD-21693_A,9DW7_EMD-47237_A,9EDD_EMD-47945_A,9EDE_EMD-47946_A,9FQR_EMD-50664_FFB
6WJG_EMD-21693_C	2	6WJF_EMD-21692_C,6WJG_EMD-21693_C
6WJN_EMD-21696_H	1	6WJN_EMD-21696_H
6WJN_EMD-21696_J	1	6WJN_EMD-21696_J
6WJN_EMD-21696_T	1	6WJN_EMD-21696_T
6WJN_EMD-21696_W	1	6WJN_EMD-21696_W
6WKK_EMD-21695_A	1	6WKK_EMD-21695_A
6WKK_EMD-21695_G	1	6WKK_EMD-21695_G
6WOV_EMD-21862_A	1	6WOV_EMD-21862_A
6X0V_EMD-21985_A	3	6X0V_EMD-21985_A,9H9P_EMD-21985_G,9QVM_EMD-53399_TA
6X34_EMD-22017_B	1	6X34_EMD-22017_B
6X36_EMD-22019_B	1	6X36_EMD-22019_B
6XE6_EMD-22144_A	1	6XE6_EMD-22144_A
6XF8_EMD-22166_F	2	6XF8_EMD-22166_F,6ZTZ_EMD-22166_C
6XJX_EMD-22216_A	1	6XJX_EMD-22216_A
6XJX_EMD-22216_B	1	6XJX_EMD-22216_B
6XJX_EMD-22216_I	1	6XJX_EMD-22216_I
6XJX_EMD-22216_J	1	6XJX_EMD-22216_J
6XKW_EMD-22227_A	3	6XKW_EMD-22227_A,6XKX_EMD-22228_G,6XKZ_EMD-22230_G
6XKW_EMD-22227_B	3	6XKW_EMD-22227_B,6XKX_EMD-22228_H,6XKZ_EMD-22230_H
6XKW_EMD-22227_C	1	6XKW_EMD-22227_C
6XKW_EMD-22227_D	1	6XKW_EMD-22227_D
6XKW_EMD-22227_E	1	6XKW_EMD-22227_E
6XKW_EMD-22227_F	3	6XKW_EMD-22227_F,6XKX_EMD-22228_A,6XKZ_EMD-22230_A
6XKW_EMD-22227_G	3	6XKW_EMD-22227_G,6XKX_EMD-22228_B,6XKZ_EMD-22230_B
6XKW_EMD-22227_H	3	6XKW_EMD-22227_H,6XKX_EMD-22228_C,6XKZ_EMD-22230_C
6XKZ_EMD-22230_I	2	6XKX_EMD-22228_I,6XKZ_EMD-22230_I
6XOW_EMD-22282_A	1	6XOW_EMD-22282_A
6XPF_EMD-22287_A	1	6XPF_EMD-22287_A
6XRE_EMD-22294_A	1	6XRE_EMD-22294_A
6XRE_EMD-22294_B	1	6XRE_EMD-22294_B
6XRE_EMD-22294_C	1	6XRE_EMD-22294_C
6XRE_EMD-22294_D	1	6XRE_EMD-22294_D
6XRE_EMD-22294_E	1	6XRE_EMD-22294_E
6XRE_EMD-22294_F	1	6XRE_EMD-22294_F
6XRE_EMD-22294_G	1	6XRE_EMD-22294_G
6XRE_EMD-22294_H	1	6XRE_EMD-22294_H
6XRE_EMD-22294_I	1	6XRE_EMD-22294_I
6XRE_EMD-22294_J	1	6XRE_EMD-22294_J
6XRE_EMD-22294_K	1	6XRE_EMD-22294_K
6XRE_EMD-22294_L	1	6XRE_EMD-22294_L
6XRE_EMD-22294_M	1	6XRE_EMD-22294_M
6XTY_EMD-10621_A	1	6XTY_EMD-10621_A
6XTY_EMD-10621_B	1	6XTY_EMD-10621_B
6XTY_EMD-10621_C	1	6XTY_EMD-10621_C
6XTY_EMD-10621_D	1	6XTY_EMD-10621_D
6XTY_EMD-10621_E	1	6XTY_EMD-10621_E
6XTY_EMD-10621_F	1	6XTY_EMD-10621_F
6XTY_EMD-10621_G	1	6XTY_EMD-10621_G
6XTY_EMD-10621_H	1	6XTY_EMD-10621_H
6XTY_EMD-10621_I	1	6XTY_EMD-10621_I
6XTY_EMD-10621_J	1	6XTY_EMD-10621_J
6XTY_EMD-10621_K	1	6XTY_EMD-10621_K
6XTY_EMD-10621_L	1	6XTY_EMD-10621_L
6Y92_EMD-10732_A	1	6Y92_EMD-10732_A
6Y92_EMD-10732_B	2	6Y92_EMD-10732_B,7U0D_EMD-26256_E
6Y92_EMD-10732_C	1	6Y92_EMD-10732_C
6YBT_EMD-10773_A	1	6YBT_EMD-10773_A
6YBT_EMD-10773_B	1	6YBT_EMD-10773_B
6YBT_EMD-10773_C	1	6YBT_EMD-10773_C
6YRG_EMD-10889_A	2	6YRG_EMD-10889_A,7NTX_EMD-10889_A
6YTX_EMD-10925_A	1	6YTX_EMD-10925_A
6YVD_EMD-10944_B	1	6YVD_EMD-10944_B
6YVU_EMD-10951_A	3	6YVD_EMD-10944_C,6YVU_EMD-10951_A,6YVV_EMD-10952_A
6YVV_EMD-10952_B	3	6YVD_EMD-10944_D,6YVU_EMD-10951_B,6YVV_EMD-10952_B
6YVV_EMD-10952_C	3	6YVD_EMD-10944_A,6YVU_EMD-10951_C,6YVV_EMD-10952_C
6YVV_EMD-10952_D	2	6YVU_EMD-10951_D,6YVV_EMD-10952_D
6YW7_EMD-10960_A	1	6YW7_EMD-10960_A
6YW7_EMD-10960_B	1	6YW7_EMD-10960_B
6YW7_EMD-10960_C	1	6YW7_EMD-10960_C
6YW7_EMD-10960_D	1	6YW7_EMD-10960_D
6YW7_EMD-10960_E	1	6YW7_EMD-10960_E
6YW7_EMD-10960_F	1	6YW7_EMD-10960_F
6YW7_EMD-10960_G	1	6YW7_EMD-10960_G
6Z05_EMD-11003_A	1	6Z05_EMD-11003_A
6Z12_EMD-4460_A	1	6Z12_EMD-4460_A
6Z2K_EMD-11042_A	3	6Z2K_EMD-11042_A,7AO8_EMD-11837_D,7AO9_EMD-11838_C
6Z2K_EMD-11042_E	1	6Z2K_EMD-11042_E
6Z2K_EMD-11042_I	1	6Z2K_EMD-11042_I
6Z3W_EMD-11058_B	1	6Z3W_EMD-11058_B
6Z3W_EMD-11058_C	1	6Z3W_EMD-11058_C
6Z3W_EMD-11058_D	1	6Z3W_EMD-11058_D
6Z3W_EMD-11058_E	1	6Z3W_EMD-11058_E
6Z3W_EMD-11058_F	1	6Z3W_EMD-11058_F
6Z3W_EMD-11058_G	1	6Z3W_EMD-11058_G
6Z3W_EMD-11058_H	1	6Z3W_EMD-11058_H
6Z3W_EMD-11058_I	1	6Z3W_EMD-11058_I
6Z47_EMD-11069_A	1	6Z47_EMD-11069_A
6Z47_EMD-11069_C	2	6Z47_EMD-11069_C,9SZR_EMD-55382_C
6Z47_EMD-11069_E	2	6Z47_EMD-11069_E,9SZR_EMD-55382_E
6Z5J_EMD-11078_A	1	6Z5J_EMD-11078_A
6ZD0_EMD-11172_A	1	6ZD0_EMD-11172_A
6ZD0_EMD-11172_B	1	6ZD0_EMD-11172_B
6ZDG_EMD-11173_B	4	6ZDG_EMD-11173_B,7TC9_EMD-25806_B,7U0D_EMD-26256_B,8YBS_EMD-34546_C
6ZDJ_EMD-11176_G	4	6Y9V_EMD-10738_G,6Y9Y_EMD-10741_G,6Y9Z_EMD-10742_G,6ZDJ_EMD-11176_G
6ZG0_EMD-11190_A	1	6ZG0_EMD-11190_A
6ZGA_EMD-11199_A	1	6ZGA_EMD-11199_A
6ZGA_EMD-11199_B	1	6ZGA_EMD-11199_B
6ZGA_EMD-11199_D	1	6ZGA_EMD-11199_D
6ZGA_EMD-11199_G	2	6ZGA_EMD-11199_C,6ZGA_EMD-11199_G
6ZIU_EMD-11230_A	1	6ZIU_EMD-11230_A
6ZIU_EMD-11230_B	1	6ZIU_EMD-11230_B
6ZIU_EMD-11230_C	1	6ZIU_EMD-11230_C
6ZIU_EMD-11230_G	1	6ZIU_EMD-11230_G
6ZIU_EMD-11230_I	1	6ZIU_EMD-11230_I
6ZIU_EMD-11230_J	1	6ZIU_EMD-11230_J
6ZIU_EMD-11230_K	1	6ZIU_EMD-11230_K
6ZJN_EMD-11237_D	2	6ZJN_EMD-11237_D,6ZJY_EMD-11238_D
6ZJN_EMD-11237_E	2	6ZJN_EMD-11237_E,6ZJY_EMD-11238_E
6ZJN_EMD-11237_F	2	6ZJN_EMD-11237_F,6ZJY_EMD-11238_F
6ZJN_EMD-11237_G	2	6ZJN_EMD-11237_G,6ZJY_EMD-11238_G
6ZJN_EMD-11237_H	2	6ZJN_EMD-11237_H,6ZJY_EMD-11238_H
6ZJN_EMD-11237_I	2	6ZJN_EMD-11237_I,6ZJY_EMD-11238_I
6ZJY_EMD-11238_A	2	6ZJN_EMD-11237_A,6ZJY_EMD-11238_A
6ZJY_EMD-11238_B	2	6ZJN_EMD-11237_B,6ZJY_EMD-11238_B
6ZJY_EMD-11238_C	2	6ZJN_EMD-11237_C,6ZJY_EMD-11238_C
6ZJY_EMD-11238_J	2	6ZJN_EMD-11237_J,6ZJY_EMD-11238_J
6ZJY_EMD-11238_K	2	6ZJN_EMD-11237_K,6ZJY_EMD-11238_K
6ZJY_EMD-11238_L	2	6ZJN_EMD-11237_L,6ZJY_EMD-11238_L
6ZJY_EMD-11238_M	2	6ZJN_EMD-11237_M,6ZJY_EMD-11238_M
6ZJY_EMD-11238_N	2	6ZJN_EMD-11237_N,6ZJY_EMD-11238_N
6ZJY_EMD-11238_O	2	6ZJN_EMD-11237_O,6ZJY_EMD-11238_O
6ZM1_EMD-11277_A	1	6ZM1_EMD-11277_A
6ZM1_EMD-11277_B	1	6ZM1_EMD-11277_B
6ZNA_EMD-0667_A	1	6ZNA_EMD-0667_A
6ZNA_EMD-0667_B	1	6ZNA_EMD-0667_B
6ZNA_EMD-0667_J	1	6ZNA_EMD-0667_J
6ZNA_EMD-0667_K	2	6ZIU_EMD-11230_H,6ZNA_EMD-0667_K
6ZNA_EMD-0667_L	1	6ZNA_EMD-0667_L
6ZNA_EMD-0667_M	2	6ZIU_EMD-11230_D,6ZNA_EMD-0667_M
6ZNA_EMD-0667_N	2	6ZIU_EMD-11230_E,6ZNA_EMD-0667_N
6ZNA_EMD-0667_O	2	6ZIU_EMD-11230_F,6ZNA_EMD-0667_O
6ZNA_EMD-0667_P	1	6ZNA_EMD-0667_P
6ZNA_EMD-0667_Q	1	6ZNA_EMD-0667_Q
6ZNN_EMD-11318_A	5	6ZNN_EMD-11318_A,6ZNO_EMD-11319_A,9DGT_EMD-46847_A,9DGU_EMD-46848_A,9HHL_EMD-52171_D
6ZQW_EMD-11372_A	1	6ZQW_EMD-11372_A
6ZQW_EMD-11372_B	1	6ZQW_EMD-11372_B
6ZTY_EMD-22164_A	3	6XF8_EMD-22166_A,6ZTY_EMD-22164_A,6ZTZ_EMD-22166_D
6ZTZ_EMD-22166_B	5	6XF7_EMD-22165_A,6XF8_EMD-22166_G,6ZTS_EMD-22165_A,6ZTZ_EMD-22166_A,6ZTZ_EMD-22166_B
6ZTZ_EMD-22166_G	2	6XF8_EMD-22166_I,6ZTZ_EMD-22166_G
6ZTZ_EMD-22166_I	4	6XF8_EMD-22166_B,6ZTY_EMD-22164_D,6ZTZ_EMD-22166_I,7LUP_EMD-23526_Q
6ZVS_EMD-11469_A	5	6ZVS_EMD-11469_A,6ZVT_EMD-11470_A,6ZW4_EMD-11478_A,6ZW5_EMD-11481_A,6ZW6_EMD-11482_A
7A4I_EMD-11634_A	2	7A4H_EMD-11633_A,7A4I_EMD-11634_A
7A96_EMD-11686_D	4	6M1D_EMD-30041_B,7A96_EMD-11686_D,7A98_EMD-11688_B,8WTJ_EMD-37835_D
7AL3_EMD-11815_A	1	7AL3_EMD-11815_A
7AL3_EMD-11815_B	1	7AL3_EMD-11815_B
7AL3_EMD-11815_C	1	7AL3_EMD-11815_C
7AO9_EMD-11838_A	2	7AO8_EMD-11837_A,7AO9_EMD-11838_A
7AO9_EMD-11838_B	2	7AO8_EMD-11837_B,7AO9_EMD-11838_B
7AOD_EMD-11841_A	1	7AOD_EMD-11841_A
7AOD_EMD-11841_B	1	7AOD_EMD-11841_B
7AOD_EMD-11841_C	1	7AOD_EMD-11841_C
7AOD_EMD-11841_D	1	7AOD_EMD-11841_D
7AOD_EMD-11841_E	1	7AOD_EMD-11841_E
7AOD_EMD-11841_F	1	7AOD_EMD-11841_F
7AOD_EMD-11841_G	1	7AOD_EMD-11841_G
7AOD_EMD-11841_H	1	7AOD_EMD-11841_H
7AOD_EMD-11841_I	1	7AOD_EMD-11841_I
7AOD_EMD-11841_J	1	7AOD_EMD-11841_J
7AOD_EMD-11841_K	1	7AOD_EMD-11841_K
7AOD_EMD-11841_L	1	7AOD_EMD-11841_L
7AQO_EMD-11871_A	1	7AQO_EMD-11871_A
7AQO_EMD-11871_B	1	7AQO_EMD-11871_B
7AQO_EMD-11871_C	1	7AQO_EMD-11871_C
7AQO_EMD-11871_D	1	7AQO_EMD-11871_D
7AQO_EMD-11871_I	1	7AQO_EMD-11871_I
7AQO_EMD-11871_J	1	7AQO_EMD-11871_J
7ATA_EMD-11911_B	1	7ATA_EMD-11911_B
7B4M_EMD-12003_A	1	7B4M_EMD-12003_A
7B6E_EMD-12053_A	3	7B6E_EMD-12053_A,7B6R_EMD-12056_A,7B6Y_EMD-12058_A
7B6H_EMD-12054_A	3	7B6H_EMD-12054_A,7B6R_EMD-12056_B,7B6Z_EMD-12060_A
7B6R_EMD-12056_C	1	7B6R_EMD-12056_C
7B6R_EMD-12056_D	1	7B6R_EMD-12056_D
7B6R_EMD-12056_E	1	7B6R_EMD-12056_E
