rep_fasta_id	members
6L62_EMD-0838_A	6L62_EMD-0838_A
6L6Z_EMD-0840_A	6L6Z_EMD-0840_A
6LGN_EMD-0881_FA	6LGN_EMD-0881_FA,8X9W_EMD-38186_J,8XA1_EMD-38191_E
6LGN_EMD-0881_EA	6LGN_EMD-0881_EA
6LGN_EMD-0881_B	6LGN_EMD-0881_B
6LGN_EMD-0881_A	6LGN_EMD-0881_A,8X9W_EMD-38186_A,8XA1_EMD-38191_A,8XA1_EMD-38191_B
6LK8_EMD-0909_I	6LK8_EMD-0909_I,7TDZ_EMD-25817_A,7WB4_EMD-32394_P
6LK8_EMD-0909_H	6LK8_EMD-0909_H,7TDZ_EMD-25817_F,7WB4_EMD-32394_L
6LK8_EMD-0909_G	6LK8_EMD-0909_G,7WB4_EMD-32394_M
6LK8_EMD-0909_F	6LK8_EMD-0909_F,7TDZ_EMD-25817_V,7WB4_EMD-32394_D
6LK8_EMD-0909_E	6LK8_EMD-0909_E,7TDZ_EMD-25817_X,7WB4_EMD-32394_H
6LK8_EMD-0909_D	6LK8_EMD-0909_D,7TDZ_EMD-25817_J,7WB4_EMD-32394_E
6LK8_EMD-0909_C	6LK8_EMD-0909_C,7TDZ_EMD-25817_L,7WB4_EMD-32394_C
6LK8_EMD-0909_B	6LK8_EMD-0909_B,7TDZ_EMD-25817_N,7WB4_EMD-32394_B
6LK8_EMD-0909_K	6LK8_EMD-0909_K,7TDZ_EMD-25817_Q
6LK8_EMD-0909_J	6LK8_EMD-0909_J,7TDZ_EMD-25817_Z,7WB4_EMD-32394_A
6LK8_EMD-0909_A	6LK8_EMD-0909_A,7TDZ_EMD-25817_H,7WB4_EMD-32394_S
6LNT_EMD-0932_I	6LNT_EMD-0932_I
6LNT_EMD-0932_H	6LNT_EMD-0932_H
6LNT_EMD-0932_G	6LNT_EMD-0932_G
6LNT_EMD-0932_D	6LNT_EMD-0932_D,9JS6_EMD-61767_B
6LNT_EMD-0932_A	6LNT_EMD-0932_A,7BUA_EMD-30193_A,7YAR_EMD-33718_E,9JS6_EMD-61767_A
6LQI_EMD-0946_A	6LQI_EMD-0946_A,7WLU_EMD-32593_A
6LSY_EMD-0965_A	6LSY_EMD-0965_A,6LT4_EMD-0967_A
6M1D_EMD-30041_B	6M1D_EMD-30041_B,7A96_EMD-11686_D,7A98_EMD-11688_B,8WTJ_EMD-37835_D
6M1D_EMD-30041_A	6M1D_EMD-30041_A
6M5V_EMD-30094_A	6M5V_EMD-30094_A
6M5V_EMD-30094_B	6M5V_EMD-30094_B
6M5V_EMD-30094_C	6M5V_EMD-30094_C
6M68_EMD-30116_A	6M68_EMD-30116_A,6WBK_EMD-21591_A,6WBL_EMD-21592_A,7WSV_EMD-32768_A,9HF2_EMD-52105_A
6M6G_EMD-30123_U	6M6G_EMD-30123_U,6M6H_EMD-30124_P
6M6G_EMD-30123_S	6M6G_EMD-30123_S,6M6H_EMD-30124_H
6M6G_EMD-30123_R	6M6G_EMD-30123_R,6M6H_EMD-30124_G
6M6G_EMD-30123_N	6M6G_EMD-30123_N,6M6H_EMD-30124_T
6M6G_EMD-30123_H	6M6G_EMD-30123_H,6M6H_EMD-30124_R
6M6G_EMD-30123_F	6M6G_EMD-30123_F,6M6H_EMD-30124_J
6M6G_EMD-30123_A	6M6G_EMD-30123_A,6M6H_EMD-30124_A
6M6Z_EMD-30126_A	6M6Z_EMD-30126_A
6PSN_EMD-20459_H	6PSN_EMD-20459_H
6PSN_EMD-20459_A	6PSN_EMD-20459_A
6PV6_EMD-20486_A	6PV6_EMD-20486_A,7JMF_EMD-22392_B,7JMG_EMD-22393_A,7JMH_EMD-22394_B,7JMI_EMD-22395_B,7JMJ_EMD-22396_B
6PV6_EMD-20486_E	6PV6_EMD-20486_E,6WOV_EMD-21862_E,6X34_EMD-22017_A,6X36_EMD-22019_A,7CF9_EMD-30343_B,7JMF_EMD-22392_A,7JMG_EMD-22393_E,7JMH_EMD-22394_A,7JMI_EMD-22395_A,7JMJ_EMD-22396_A,8RRT_EMD-19464_E,8RRU_EMD-19465_A
6Q7L_EMD-4469_V	6Q7L_EMD-4469_V,6Q7L_EMD-4469_U,6Q7M_EMD-4470_U,6SZA_EMD-10351_A,6SZB_EMD-10352_A
6Q7L_EMD-4469_A	6Q7L_EMD-4469_A,6Q7M_EMD-4470_A
6ROW_EMD-4975_G	6ROW_EMD-4975_G
6ROW_EMD-4975_E	6ROW_EMD-4975_E
6ROW_EMD-4975_A	6ROW_EMD-4975_A
6RRT_EMD-4990_A	6RRT_EMD-4990_A
6RWY_EMD-10046_CA	6RWY_EMD-10046_CA
6RWY_EMD-10046_BA	6RWY_EMD-10046_BA
6RWY_EMD-10046_W	6RWY_EMD-10046_W
6RWY_EMD-10046_L	6RWY_EMD-10046_L
6S2F_EMD-10089_D	6S2F_EMD-10089_D
6S2F_EMD-10089_C	6S2F_EMD-10089_C
6S2F_EMD-10089_B	6S2F_EMD-10089_B
6S2F_EMD-10089_A	6S2F_EMD-10089_A
6SB5_EMD-10135_A	6SB5_EMD-10135_A
6SH5_EMD-10194_A	6SH5_EMD-10194_A
6SIH_EMD-10210_A	6SIH_EMD-10210_A,9GSX_EMD-51557_W
6SKM_EMD-10228_A	6SKM_EMD-10228_A,6SKN_EMD-10229_A,6SLU_EMD-10240_A,6SMU_EMD-10246_A,6VWS_EMD-21423_A,6Y9V_EMD-10738_A,6Y9Y_EMD-10741_A,6Y9Z_EMD-10742_A,6ZDJ_EMD-11176_A,7ASL_EMD-11897_A,9RMX_EMD-54071_M
6SMX_EMD-10247_A	6SMX_EMD-10247_A,7NBX_EMD-12262_A,7NCS_EMD-12271_A,7ND0_EMD-12272_A,7RI6_EMD-24475_A,7RI7_EMD-24476_A,7RI8_EMD-24477_A,7RI9_EMD-24478_A,7RJ5_EMD-24481_B,7TSZ_EMD-26105_A,7TT7_EMD-26113_A,8QPU_EMD-18562_A,8QPW_EMD-18564_A
6SMX_EMD-10247_B	6SMX_EMD-10247_B,7NBX_EMD-12262_B,7NCS_EMD-12271_B,7ND0_EMD-12272_B,7RI6_EMD-24475_B,7RI7_EMD-24476_B,7RI8_EMD-24477_B,7RI9_EMD-24478_B,7RJ5_EMD-24481_C,7TSZ_EMD-26105_B,8QPU_EMD-18562_B,8QPW_EMD-18564_B
6SMX_EMD-10247_C	6SMX_EMD-10247_C
6SMX_EMD-10247_D	6SMX_EMD-10247_D,7NBX_EMD-12262_D,7NCS_EMD-12271_D,7ND0_EMD-12272_D,7RI6_EMD-24475_D,7RI7_EMD-24476_D,7RI8_EMD-24477_D,7RI9_EMD-24478_D,7RJ5_EMD-24481_E,7TSZ_EMD-26105_C,7TT7_EMD-26113_D,8QPU_EMD-18562_C,8QPW_EMD-18564_D
6SMX_EMD-10247_E	6SMX_EMD-10247_E,7NBX_EMD-12262_E,7NCS_EMD-12271_E,7ND0_EMD-12272_E,7RI6_EMD-24475_E,7RI7_EMD-24476_E,7RI8_EMD-24477_E,7RI9_EMD-24478_E,7RJ5_EMD-24481_F,7TSZ_EMD-26105_E,7TT7_EMD-26113_C,8QPU_EMD-18562_D,8QPW_EMD-18564_E
6SO3_EMD-7029_A	6SO3_EMD-7029_A
6SO3_EMD-7029_B	6SO3_EMD-7029_B
6SO3_EMD-7029_C	6SO3_EMD-7029_C
6T6V_EMD-10387_A	6T6V_EMD-10387_A
6T7S_EMD-10371_A	6T7S_EMD-10371_A
6TA4_EMD-10422_C	6TA4_EMD-10422_C
6TA4_EMD-10422_B	6TA4_EMD-10422_B,6ZPI_EMD-11340_B,7UN1_EMD-26611_C,7YSQ_EMD-34080_A,8C5C_EMD-16435_N,8I7O_EMD-35229_C,8I7R_EMD-35230_G,8TO0_EMD-41431_D,8VA2_EMD-43085_A,8VRJ_EMD-43482_A,9FQR_EMD-50664_AN,9IJJ_EMD-60633_AB,9NTM_EMD-49760_F,9OT2_EMD-70819_A,9RPD_EMD-54160_F,9RPD_EMD-54161_F
6TA4_EMD-10422_A	6TA4_EMD-10422_A,6ZPI_EMD-11340_C,7KZM_EMD-23082_A,7MOQ_EMD-23926_Q,7N32_EMD-22677_B,7TNS_EMD-26019_Z,7UN1_EMD-26611_B,7YSQ_EMD-34080_B,8C5C_EMD-16435_A,8I7O_EMD-35229_D,8I7R_EMD-35230_F,8TO0_EMD-41431_E,8VRJ_EMD-43482_B,9FQR_EMD-50664_AB,9IJJ_EMD-60633_AD,9NTM_EMD-49760_G,9OT2_EMD-70819_B,9RPD_EMD-54160_D,9RPD_EMD-54161_D
6TBA_EMD-10443_A	6TBA_EMD-10443_A
6TBA_EMD-10443_BH	6TBA_EMD-10443_BH
6TBA_EMD-10443_BI	6TBA_EMD-10443_BI
6TBA_EMD-10443_KJ	6TBA_EMD-10443_KJ
6TBA_EMD-10443_AK	6TBA_EMD-10443_AK
6TBA_EMD-10443_AI	6TBA_EMD-10443_AI
6TBA_EMD-10443_BJ	6TBA_EMD-10443_BJ
6TBA_EMD-10443_AJ	6TBA_EMD-10443_AJ
6TBA_EMD-10443_AC	6TBA_EMD-10443_AC
6TBA_EMD-10443_MJ	6TBA_EMD-10443_MJ
6TBA_EMD-10443_LJ	6TBA_EMD-10443_LJ
6TGB_EMD-10497_B	6TGB_EMD-10497_B,8JHK_EMD-36271_A,8XM7_EMD-38466_A,8ZJ2_EMD-60136_E,8ZJM_EMD-60150_A,9LX0_EMD-63464_A,9LXH_EMD-63477_A
6TML_EMD-10525_I	6TML_EMD-10525_I
6TML_EMD-10525_H	6TML_EMD-10525_H
6TML_EMD-10525_G	6TML_EMD-10525_G
6TML_EMD-10525_F	6TML_EMD-10525_F
6TML_EMD-10525_E	6TML_EMD-10525_E
6TML_EMD-10525_D	6TML_EMD-10525_D
6TML_EMD-10525_AF	6TML_EMD-10525_AF
6TML_EMD-10525_BC	6TML_EMD-10525_BC
6TML_EMD-10525_AC	6TML_EMD-10525_AC
6TML_EMD-10525_C	6TML_EMD-10525_C
6TML_EMD-10525_DI	6TML_EMD-10525_DI
6TML_EMD-10525_AI	6TML_EMD-10525_AI
6TML_EMD-10525_AB	6TML_EMD-10525_AB
6TML_EMD-10525_EF	6TML_EMD-10525_EF
6TML_EMD-10525_IE	6TML_EMD-10525_IE
6TML_EMD-10525_X	6TML_EMD-10525_X
6TML_EMD-10525_W	6TML_EMD-10525_W
6TML_EMD-10525_V	6TML_EMD-10525_V
6TML_EMD-10525_U	6TML_EMD-10525_U
6TML_EMD-10525_T	6TML_EMD-10525_T
6TML_EMD-10525_B	6TML_EMD-10525_B
6TML_EMD-10525_S	6TML_EMD-10525_S
6TML_EMD-10525_R	6TML_EMD-10525_R
6TML_EMD-10525_Q	6TML_EMD-10525_Q
6TML_EMD-10525_P	6TML_EMD-10525_P
6TML_EMD-10525_O	6TML_EMD-10525_O
6TML_EMD-10525_N	6TML_EMD-10525_N
6TML_EMD-10525_M	6TML_EMD-10525_M
6TML_EMD-10525_L	6TML_EMD-10525_L
6TML_EMD-10525_K	6TML_EMD-10525_K
6TML_EMD-10525_J	6TML_EMD-10525_J
6TML_EMD-10525_A	6TML_EMD-10525_A
6TMW_EMD-10529_A	6TMW_EMD-10529_A,6TMX_EMD-10530_A
6TY3_EMD-10615_A	6TY3_EMD-10615_A,6TY4_EMD-10616_A
6TZ9_EMD-20590_A	6TZ9_EMD-20590_A
6TZA_EMD-20591_A	6TZA_EMD-20591_A
6U1S_EMD-20613_A	6U1S_EMD-20613_A
6U68_EMD-20662_A	6U68_EMD-20662_A,6U6E_EMD-20664_A,6U6H_EMD-20665_A,6UX7_EMD-20930_A,6UXA_EMD-20931_A,6UXB_EMD-20932_A
6UBY_EMD-20721_I	6UBY_EMD-20721_I,6UC0_EMD-20724_H
6UVT_EMD-20916_A	6UVT_EMD-20916_A
6UXV_EMD-20933_I	6UXV_EMD-20933_I
6UXV_EMD-20933_H	6UXV_EMD-20933_H
6UXV_EMD-20933_D	6UXV_EMD-20933_D
6UXV_EMD-20933_C	6UXV_EMD-20933_C
6UXV_EMD-20933_B	6UXV_EMD-20933_B
6UXV_EMD-20933_A	6UXV_EMD-20933_A
6UZC_EMD-20956_EA	6UZC_EMD-20956_EA
6UZC_EMD-20956_A	6UZC_EMD-20956_A,7VRT_EMD-32103_A
6V6C_EMD-21068_A	6V6C_EMD-21068_A,7QJ0_EMD-14005_J,7QJ1_EMD-14006_J,7QJ3_EMD-14008_N,7QJ6_EMD-14011_M,7QJD_EMD-14018_N,7QJE_EMD-14019_D,8VRD_EMD-43481_B,8VRJ_EMD-43482_C,9H9P_EMD-21985_C,9QVM_EMD-53399_MA,9QVN_EMD-53400_KA
6V86_EMD-21096_B	6V86_EMD-21096_B
6V86_EMD-21096_A	6V86_EMD-21096_A
6V9I_EMD-21121_B	6V9I_EMD-21121_B
6V9I_EMD-21121_A	6V9I_EMD-21121_A
6VAB_EMD-21135_B	6VAB_EMD-21135_B,6VAC_EMD-21136_A,7U6F_EMD-24964_A
6VAB_EMD-21135_A	6VAB_EMD-21135_A,6VAC_EMD-21136_C,7U6F_EMD-24964_C,8P0V_EMD-17339_D,8P0X_EMD-17341_C
6VAC_EMD-21136_B	6VAC_EMD-21136_B,7U6F_EMD-24964_B
6VE4_EMD-21154_A	6VE4_EMD-21154_A
6VEJ_EMD-21363_D	6VEJ_EMD-21363_D
6VEJ_EMD-21363_A	6VEJ_EMD-21363_A
6VFI_EMD-21173_B	6VFI_EMD-21173_B
6VFI_EMD-21173_A	6VFI_EMD-21173_A
6VFJ_EMD-21174_B	6VFJ_EMD-21174_B
6VFJ_EMD-21174_A	6VFJ_EMD-21174_A
6VL6_EMD-21231_B	6VL6_EMD-21231_B
6VL6_EMD-21231_A	6VL6_EMD-21231_A
6VM1_EMD-21235_M	6VM1_EMD-21235_M,6VM4_EMD-21238_M,6VMB_EMD-21239_M,6VMG_EMD-21241_G,6VOF_EMD-21262_M
6VM1_EMD-21235_L	6VM1_EMD-21235_L,6VM4_EMD-21238_L,6VMB_EMD-21239_L,6VMD_EMD-21240_I,6VMG_EMD-21241_F,6VOF_EMD-21262_H
6VM1_EMD-21235_K	6VM1_EMD-21235_K,6VM4_EMD-21238_K,6VMB_EMD-21239_K,6VMD_EMD-21240_H,6VMG_EMD-21241_E,6VOF_EMD-21262_I
6VM1_EMD-21235_J	6VM1_EMD-21235_J,6VM4_EMD-21238_J,6VMB_EMD-21239_J,6VMD_EMD-21240_G,6VMG_EMD-21241_C,6VOF_EMD-21262_G
6VM1_EMD-21235_I	6VM1_EMD-21235_I,6VM4_EMD-21238_I,6VMB_EMD-21239_I,6VMG_EMD-21241_A,6VOF_EMD-21262_L
6VM1_EMD-21235_H	6VM1_EMD-21235_H,6VM4_EMD-21238_H,6VMB_EMD-21239_H,6VMG_EMD-21241_D,6VOF_EMD-21262_K
6VM1_EMD-21235_G	6VM1_EMD-21235_G,6VM4_EMD-21238_G,6VMB_EMD-21239_G,6VMG_EMD-21241_B,6VOF_EMD-21262_J
6VM1_EMD-21235_D	6VM1_EMD-21235_D,6VM4_EMD-21238_D,6VMB_EMD-21239_D,6VMD_EMD-21240_D,6VMG_EMD-21241_I,6VOF_EMD-21262_D
6VM1_EMD-21235_A	6VM1_EMD-21235_A,6VM4_EMD-21238_A,6VMB_EMD-21239_A,6VMD_EMD-21240_A,6VMG_EMD-21241_H,6VOF_EMD-21262_A
6VQJ_EMD-21352_B	6VQJ_EMD-21352_B,6VQK_EMD-21353_B,9BRR_EMD-44841_R
6VQJ_EMD-21352_E	6VQJ_EMD-21352_E,6VQK_EMD-21353_E,9BRR_EMD-44841_U
6VQJ_EMD-21352_H	6VQJ_EMD-21352_H,6VQK_EMD-21353_H,9BRR_EMD-44841_BA
6VQJ_EMD-21352_A	6VQJ_EMD-21352_A,6VQK_EMD-21353_A,9BRR_EMD-44841_Y
6VY0_EMD-21454_A	6VY0_EMD-21454_A
6VY1_EMD-21455_A	6VY1_EMD-21455_A
6VYV_EMD-21473_J	6VYV_EMD-21473_J,6W09_EMD-21496_J,6W1C_EMD-21509_J,7JTI_EMD-22474_A
6VYV_EMD-21473_I	6VYV_EMD-21473_I,6W09_EMD-21496_I,6W1C_EMD-21509_I
6VYV_EMD-21473_E	6VYV_EMD-21473_E
6VYV_EMD-21473_A	6VYV_EMD-21473_A
6W09_EMD-21496_Q	6W09_EMD-21496_Q
6W09_EMD-21496_E	6W09_EMD-21496_E,7CVY_EMD-30476_E,7CVZ_EMD-30477_B,7CW0_EMD-30478_B,7CW2_EMD-30479_B
6W09_EMD-21496_A	6W09_EMD-21496_A,7CVY_EMD-30476_D,7CVZ_EMD-30477_A,7CW0_EMD-30478_A,7CW2_EMD-30479_A
6W0K_EMD-21497_A	6W0K_EMD-21497_A,6WFS_EMD-21653_A
6W19_EMD-21504_MA	6W19_EMD-21504_MA
6W19_EMD-21504_GA	6W19_EMD-21504_GA
6W19_EMD-21504_Q	6W19_EMD-21504_Q
6W19_EMD-21504_A	6W19_EMD-21504_A
6W1C_EMD-21509_E	6W1C_EMD-21509_E,6W2U_EMD-21532_E
6W1C_EMD-21509_A	6W1C_EMD-21509_A,6W2U_EMD-21532_A
6W4O_EMD-21535_M	6W4O_EMD-21535_M,6W4O_EMD-21535_A,6W4P_EMD-21536_M,6W4P_EMD-21536_A
6WC7_EMD-21602_B	6WC7_EMD-21602_B
6WC7_EMD-21602_A	6WC7_EMD-21602_A
6WCJ_EMD-21611_B	6WCJ_EMD-21611_B
6WCJ_EMD-21611_A	6WCJ_EMD-21611_A
6WGF_EMD-21664_F	6WGF_EMD-21664_F
6WGF_EMD-21664_E	6WGF_EMD-21664_E
6WGF_EMD-21664_D	6WGF_EMD-21664_D
6WGF_EMD-21664_C	6WGF_EMD-21664_C
6WGF_EMD-21664_B	6WGF_EMD-21664_B
6WGF_EMD-21664_A	6WGF_EMD-21664_A
6WJD_EMD-21691_I	6WJD_EMD-21691_I,6WJN_EMD-21696_I,7QY7_EMD-14209_C,7QYA_EMD-14210_C
6WJD_EMD-21691_H	6WJD_EMD-21691_H,7QY7_EMD-14209_B,7QYA_EMD-14210_B
6WJD_EMD-21691_G	6WJD_EMD-21691_G,6WJN_EMD-21696_G,7QY7_EMD-14209_A,7QYA_EMD-14210_A
6WJD_EMD-21691_F	6WJD_EMD-21691_F,6WJN_EMD-21696_F,7QY7_EMD-14209_L,7QYA_EMD-14210_L
6WJD_EMD-21691_E	6WJD_EMD-21691_E,6WJN_EMD-21696_E,7QY7_EMD-14209_K,7QYA_EMD-14210_K
6WJD_EMD-21691_D	6WJD_EMD-21691_D,6WJN_EMD-21696_D,7QY7_EMD-14209_J,7QYA_EMD-14210_J
6WJD_EMD-21691_GA	6WJD_EMD-21691_GA,6WJN_EMD-21696_Y,7QY7_EMD-14209_FA,7QYA_EMD-14210_FA
6WJD_EMD-21691_FA	6WJD_EMD-21691_FA,6WJN_EMD-21696_X,7QY7_EMD-14209_EA,7QYA_EMD-14210_EA
6WJD_EMD-21691_EA	6WJD_EMD-21691_EA,7QY7_EMD-14209_DA,7QYA_EMD-14210_DA
6WJD_EMD-21691_DA	6WJD_EMD-21691_DA,6WJN_EMD-21696_V,7QY7_EMD-14209_CA,7QYA_EMD-14210_CA
6WJD_EMD-21691_C	6WJD_EMD-21691_C,6WJN_EMD-21696_C,7QY7_EMD-14209_I,7QYA_EMD-14210_I
6WJD_EMD-21691_CA	6WJD_EMD-21691_CA,6WJN_EMD-21696_U,7QY7_EMD-14209_BA,7QYA_EMD-14210_BA
6WJD_EMD-21691_BA	6WJD_EMD-21691_BA,7QY7_EMD-14209_AA,7QYA_EMD-14210_AA
6WJD_EMD-21691_AA	6WJD_EMD-21691_AA,6WJN_EMD-21696_S,7QY7_EMD-14209_Z,7QYA_EMD-14210_Z
6WJD_EMD-21691_Z	6WJD_EMD-21691_Z,6WJN_EMD-21696_R,7E55_EMD-30990_A,7QY7_EMD-14209_Y,7QYA_EMD-14210_Y
6WJD_EMD-21691_Y	6WJD_EMD-21691_Y,6WJN_EMD-21696_Q,7QY7_EMD-14209_X,7QYA_EMD-14210_X
6WJD_EMD-21691_X	6WJD_EMD-21691_X,6WJN_EMD-21696_P,7QY7_EMD-14209_W,7QYA_EMD-14210_W
6WJD_EMD-21691_W	6WJD_EMD-21691_W,6WJN_EMD-21696_O,7QY7_EMD-14209_V,7QYA_EMD-14210_V
6WJD_EMD-21691_V	6WJD_EMD-21691_V,6WJN_EMD-21696_N,7QY7_EMD-14209_U,7QYA_EMD-14210_U
6WJD_EMD-21691_U	6WJD_EMD-21691_U,6WJN_EMD-21696_M,7QY7_EMD-14209_T,7QYA_EMD-14210_T
6WJD_EMD-21691_T	6WJD_EMD-21691_T,6WJN_EMD-21696_L,7QY7_EMD-14209_S,7QYA_EMD-14210_S
6WJD_EMD-21691_B	6WJD_EMD-21691_B,6WJN_EMD-21696_B,7QY7_EMD-14209_H,7QYA_EMD-14210_H
6WJD_EMD-21691_S	6WJD_EMD-21691_S,7QO4_EMD-14083_I,7QO5_EMD-14084_WA,7QO6_EMD-14085_WA,9KHT_EMD-62354_B,9KHT_EMD-62354_A
6WJD_EMD-21691_R	6WJD_EMD-21691_R,6WJN_EMD-21696_SA,7QY7_EMD-14209_R,7QYA_EMD-14210_R
6WJD_EMD-21691_Q	6WJD_EMD-21691_Q,6WJN_EMD-21696_RA,7QY7_EMD-14209_Q,7QYA_EMD-14210_Q
6WJD_EMD-21691_P	6WJD_EMD-21691_P,6WJN_EMD-21696_QA,7QY7_EMD-14209_P,7QYA_EMD-14210_P
6WJD_EMD-21691_O	6WJD_EMD-21691_O,6WJN_EMD-21696_PA,7QY7_EMD-14209_O,7QYA_EMD-14210_O
6WJD_EMD-21691_N	6WJD_EMD-21691_N,6WJN_EMD-21696_OA,7QY7_EMD-14209_N,7QYA_EMD-14210_N
6WJD_EMD-21691_M	6WJD_EMD-21691_M,6WJN_EMD-21696_NA,7QY7_EMD-14209_M,7QYA_EMD-14210_M
