seq_index	fasta_id	rep_index	rep_fasta_id
56	6M6H_EMD-30124_P	47	6M6G_EMD-30123_U
57	6M6H_EMD-30124_J	52	6M6G_EMD-30123_F
58	6M6H_EMD-30124_H	48	6M6G_EMD-30123_S
59	6M6H_EMD-30124_G	49	6M6G_EMD-30123_R
60	6M6H_EMD-30124_A	53	6M6G_EMD-30123_A
61		61	
62		62	
63		63	
64	6PV6_EMD-20486_A	64	6PV6_EMD-20486_A
65	6PV6_EMD-20486_E	65	6PV6_EMD-20486_E
66	6Q7L_EMD-4469_V	66	6Q7L_EMD-4469_V
67	6Q7L_EMD-4469_U	66	6Q7L_EMD-4469_V
68	6Q7L_EMD-4469_A	68	6Q7L_EMD-4469_A
69	6Q7M_EMD-4470_A	68	6Q7L_EMD-4469_A
70	6Q7M_EMD-4470_U	66	6Q7L_EMD-4469_V
71		71	
72		72	
73		73	
74		74	
75		75	
76		76	
77		77	
78		78	
79		79	
80		80	
81		81	
82		82	
83		83	
84		84	
85	6SIH_EMD-10210_A	85	6SIH_EMD-10210_A
86	6SKM_EMD-10228_A	86	6SKM_EMD-10228_A
87	6SKN_EMD-10229_A	86	6SKM_EMD-10228_A
88	6SLU_EMD-10240_A	86	6SKM_EMD-10228_A
89	6SMU_EMD-10246_A	86	6SKM_EMD-10228_A
90	6SMX_EMD-10247_A	90	6SMX_EMD-10247_A
91	6SMX_EMD-10247_B	91	6SMX_EMD-10247_B
92		92	
93	6SMX_EMD-10247_D	93	6SMX_EMD-10247_D
94	6SMX_EMD-10247_E	94	6SMX_EMD-10247_E
95		95	
96		96	
97		97	
98	6SZA_EMD-10351_A	66	6Q7L_EMD-4469_V
99	6SZB_EMD-10352_A	66	6Q7L_EMD-4469_V
100		100	
101		101	
102		102	
103	6TA4_EMD-10422_B	103	6TA4_EMD-10422_B
104	6TA4_EMD-10422_A	104	6TA4_EMD-10422_A
105		105	
106		106	
107		107	
108		108	
109		109	
110		110	
111		111	
112		112	
113		113	
114		114	
115		115	
116	6TGB_EMD-10497_B	116	6TGB_EMD-10497_B
117		117	
118		118	
119		119	
120		120	
121		121	
122		122	
123		123	
124		124	
125		125	
126		126	
127		127	
128		128	
129		129	
130		130	
131		131	
132		132	
133		133	
134		134	
135		135	
136		136	
137		137	
138		138	
139		139	
140		140	
141		141	
142		142	
143		143	
144		144	
145		145	
146		146	
147		147	
148		148	
149	6TMW_EMD-10529_A	149	6TMW_EMD-10529_A
150	6TMX_EMD-10530_A	149	6TMW_EMD-10529_A
151	6TY3_EMD-10615_A	151	6TY3_EMD-10615_A
152	6TY4_EMD-10616_A	151	6TY3_EMD-10615_A
153		153	
154		154	
155		155	
156	6U68_EMD-20662_A	156	6U68_EMD-20662_A
157	6U6E_EMD-20664_A	156	6U68_EMD-20662_A
158	6U6H_EMD-20665_A	156	6U68_EMD-20662_A
159	6UBY_EMD-20721_A	1	6KN7_EMD-0728_A
160	6UBY_EMD-20721_I	160	6UBY_EMD-20721_I
161	6UC0_EMD-20724_H	160	6UBY_EMD-20721_I
162	6UC0_EMD-20724_A	1	6KN7_EMD-0728_A
163		163	
164	6UX7_EMD-20930_A	156	6U68_EMD-20662_A
165	6UXA_EMD-20931_A	156	6U68_EMD-20662_A
166	6UXB_EMD-20932_A	156	6U68_EMD-20662_A
167		167	
168		168	
169		169	
170		170	
171		171	
172		172	
173		173	
174	6UZC_EMD-20956_A	174	6UZC_EMD-20956_A
175	6V6C_EMD-21068_A	175	6V6C_EMD-21068_A
176		176	
177		177	
178		178	
179		179	
180	6VAB_EMD-21135_B	180	6VAB_EMD-21135_B
181	6VAB_EMD-21135_A	181	6VAB_EMD-21135_A
182	6VAC_EMD-21136_C	181	6VAB_EMD-21135_A
183	6VAC_EMD-21136_B	183	6VAC_EMD-21136_B
184	6VAC_EMD-21136_A	180	6VAB_EMD-21135_B
185		185	
186		186	
187		187	
188		188	
189		189	
190		190	
191		191	
192		192	
193		193	
194	6VM1_EMD-21235_M	194	6VM1_EMD-21235_M
195	6VM1_EMD-21235_L	195	6VM1_EMD-21235_L
196	6VM1_EMD-21235_K	196	6VM1_EMD-21235_K
197	6VM1_EMD-21235_J	197	6VM1_EMD-21235_J
198	6VM1_EMD-21235_I	198	6VM1_EMD-21235_I
199	6VM1_EMD-21235_H	199	6VM1_EMD-21235_H
200	6VM1_EMD-21235_G	200	6VM1_EMD-21235_G
201	6VM1_EMD-21235_D	201	6VM1_EMD-21235_D
202	6VM1_EMD-21235_A	202	6VM1_EMD-21235_A
203	6VM4_EMD-21238_M	194	6VM1_EMD-21235_M
204	6VM4_EMD-21238_L	195	6VM1_EMD-21235_L
205	6VM4_EMD-21238_K	196	6VM1_EMD-21235_K
206	6VM4_EMD-21238_J	197	6VM1_EMD-21235_J
207	6VM4_EMD-21238_I	198	6VM1_EMD-21235_I
208	6VM4_EMD-21238_H	199	6VM1_EMD-21235_H
209	6VM4_EMD-21238_G	200	6VM1_EMD-21235_G
210	6VM4_EMD-21238_D	201	6VM1_EMD-21235_D
211	6VM4_EMD-21238_A	202	6VM1_EMD-21235_A
212	6VMB_EMD-21239_A	202	6VM1_EMD-21235_A
213	6VMB_EMD-21239_H	199	6VM1_EMD-21235_H
214	6VMB_EMD-21239_I	198	6VM1_EMD-21235_I
215	6VMB_EMD-21239_L	195	6VM1_EMD-21235_L
216	6VMB_EMD-21239_M	194	6VM1_EMD-21235_M
217	6VMB_EMD-21239_K	196	6VM1_EMD-21235_K
218	6VMB_EMD-21239_J	197	6VM1_EMD-21235_J
219	6VMB_EMD-21239_G	200	6VM1_EMD-21235_G
220	6VMB_EMD-21239_D	201	6VM1_EMD-21235_D
221	6VMD_EMD-21240_A	202	6VM1_EMD-21235_A
222	6VMD_EMD-21240_D	201	6VM1_EMD-21235_D
223	6VMD_EMD-21240_H	196	6VM1_EMD-21235_K
224	6VMD_EMD-21240_I	195	6VM1_EMD-21235_L
225	6VMD_EMD-21240_G	197	6VM1_EMD-21235_J
226	6VMG_EMD-21241_I	201	6VM1_EMD-21235_D
227	6VMG_EMD-21241_H	202	6VM1_EMD-21235_A
228	6VMG_EMD-21241_G	194	6VM1_EMD-21235_M
229	6VMG_EMD-21241_F	195	6VM1_EMD-21235_L
230	6VMG_EMD-21241_E	196	6VM1_EMD-21235_K
231	6VMG_EMD-21241_D	199	6VM1_EMD-21235_H
232	6VMG_EMD-21241_C	197	6VM1_EMD-21235_J
233	6VMG_EMD-21241_B	200	6VM1_EMD-21235_G
234	6VMG_EMD-21241_A	198	6VM1_EMD-21235_I
235	6VOF_EMD-21262_M	194	6VM1_EMD-21235_M
236	6VOF_EMD-21262_L	198	6VM1_EMD-21235_I
237	6VOF_EMD-21262_K	199	6VM1_EMD-21235_H
238	6VOF_EMD-21262_J	200	6VM1_EMD-21235_G
239	6VOF_EMD-21262_I	196	6VM1_EMD-21235_K
240	6VOF_EMD-21262_H	195	6VM1_EMD-21235_L
241	6VOF_EMD-21262_G	197	6VM1_EMD-21235_J
242	6VOF_EMD-21262_D	201	6VM1_EMD-21235_D
243	6VOF_EMD-21262_A	202	6VM1_EMD-21235_A
244	6VQJ_EMD-21352_B	244	6VQJ_EMD-21352_B
245	6VQJ_EMD-21352_E	245	6VQJ_EMD-21352_E
246	6VQJ_EMD-21352_H	246	6VQJ_EMD-21352_H
247	6VQJ_EMD-21352_A	247	6VQJ_EMD-21352_A
248	6VQK_EMD-21353_H	246	6VQJ_EMD-21352_H
249	6VQK_EMD-21353_E	245	6VQJ_EMD-21352_E
250	6VQK_EMD-21353_B	244	6VQJ_EMD-21352_B
251	6VQK_EMD-21353_A	247	6VQJ_EMD-21352_A
252	6VWS_EMD-21423_A	86	6SKM_EMD-10228_A
253		253	
254		254	
255	6VYV_EMD-21473_J	255	6VYV_EMD-21473_J
256	6VYV_EMD-21473_I	256	6VYV_EMD-21473_I
257		257	
258		258	
259		259	
260	6W09_EMD-21496_J	255	6VYV_EMD-21473_J
261	6W09_EMD-21496_I	256	6VYV_EMD-21473_I
262	6W09_EMD-21496_E	262	6W09_EMD-21496_E
263	6W09_EMD-21496_A	263	6W09_EMD-21496_A
264	6W0K_EMD-21497_A	264	6W0K_EMD-21497_A
265		265	
266		266	
267		267	
268		268	
269	6W1C_EMD-21509_J	255	6VYV_EMD-21473_J
270	6W1C_EMD-21509_I	256	6VYV_EMD-21473_I
271	6W1C_EMD-21509_E	271	6W1C_EMD-21509_E
272	6W1C_EMD-21509_A	272	6W1C_EMD-21509_A
273	6W2U_EMD-21532_E	271	6W1C_EMD-21509_E
274	6W2U_EMD-21532_A	272	6W1C_EMD-21509_A
275	6W4O_EMD-21535_M	275	6W4O_EMD-21535_M
276	6W4O_EMD-21535_A	275	6W4O_EMD-21535_M
277	6W4P_EMD-21536_M	275	6W4O_EMD-21535_M
278	6W4P_EMD-21536_A	275	6W4O_EMD-21535_M
279	6WBK_EMD-21591_A	46	6M68_EMD-30116_A
280	6WBL_EMD-21592_A	46	6M68_EMD-30116_A
281		281	
282		282	
283		283	
284		284	
285	6WFS_EMD-21653_A	264	6W0K_EMD-21497_A
286		286	
287		287	
288		288	
289		289	
290		290	
291		291	
292	6WJD_EMD-21691_I	292	6WJD_EMD-21691_I
293	6WJD_EMD-21691_H	293	6WJD_EMD-21691_H
294	6WJD_EMD-21691_G	294	6WJD_EMD-21691_G
295	6WJD_EMD-21691_F	295	6WJD_EMD-21691_F
296	6WJD_EMD-21691_E	296	6WJD_EMD-21691_E
297	6WJD_EMD-21691_D	297	6WJD_EMD-21691_D
298	6WJD_EMD-21691_GA	298	6WJD_EMD-21691_GA
299	6WJD_EMD-21691_FA	299	6WJD_EMD-21691_FA
300	6WJD_EMD-21691_EA	300	6WJD_EMD-21691_EA
301	6WJD_EMD-21691_DA	301	6WJD_EMD-21691_DA
302	6WJD_EMD-21691_C	302	6WJD_EMD-21691_C
303	6WJD_EMD-21691_CA	303	6WJD_EMD-21691_CA
304	6WJD_EMD-21691_BA	304	6WJD_EMD-21691_BA
305	6WJD_EMD-21691_AA	305	6WJD_EMD-21691_AA
306	6WJD_EMD-21691_Z	306	6WJD_EMD-21691_Z
307	6WJD_EMD-21691_Y	307	6WJD_EMD-21691_Y
308	6WJD_EMD-21691_X	308	6WJD_EMD-21691_X
309	6WJD_EMD-21691_W	309	6WJD_EMD-21691_W
310	6WJD_EMD-21691_V	310	6WJD_EMD-21691_V
311	6WJD_EMD-21691_U	311	6WJD_EMD-21691_U
312	6WJD_EMD-21691_T	312	6WJD_EMD-21691_T
313	6WJD_EMD-21691_B	313	6WJD_EMD-21691_B
314	6WJD_EMD-21691_S	314	6WJD_EMD-21691_S
315	6WJD_EMD-21691_R	315	6WJD_EMD-21691_R
316	6WJD_EMD-21691_Q	316	6WJD_EMD-21691_Q
317	6WJD_EMD-21691_P	317	6WJD_EMD-21691_P
318	6WJD_EMD-21691_O	318	6WJD_EMD-21691_O
319	6WJD_EMD-21691_N	319	6WJD_EMD-21691_N
320	6WJD_EMD-21691_M	320	6WJD_EMD-21691_M
321	6WJD_EMD-21691_L	321	6WJD_EMD-21691_L
322	6WJD_EMD-21691_K	322	6WJD_EMD-21691_K
323	6WJD_EMD-21691_J	323	6WJD_EMD-21691_J
324	6WJD_EMD-21691_A	324	6WJD_EMD-21691_A
325	6WJF_EMD-21692_C	325	6WJF_EMD-21692_C
326	6WJF_EMD-21692_A	326	6WJF_EMD-21692_A
327	6WJG_EMD-21693_C	325	6WJF_EMD-21692_C
328	6WJG_EMD-21693_A	326	6WJF_EMD-21692_A
329	6WJN_EMD-21696_I	292	6WJD_EMD-21691_I
330		330	
331	6WJN_EMD-21696_G	294	6WJD_EMD-21691_G
332	6WJN_EMD-21696_F	295	6WJD_EMD-21691_F
333	6WJN_EMD-21696_E	296	6WJD_EMD-21691_E
334	6WJN_EMD-21696_D	297	6WJD_EMD-21691_D
335	6WJN_EMD-21696_TA	321	6WJD_EMD-21691_L
336	6WJN_EMD-21696_SA	315	6WJD_EMD-21691_R
337	6WJN_EMD-21696_RA	316	6WJD_EMD-21691_Q
338	6WJN_EMD-21696_C	302	6WJD_EMD-21691_C
339	6WJN_EMD-21696_QA	317	6WJD_EMD-21691_P
340	6WJN_EMD-21696_PA	318	6WJD_EMD-21691_O
341	6WJN_EMD-21696_OA	319	6WJD_EMD-21691_N
342	6WJN_EMD-21696_NA	320	6WJD_EMD-21691_M
343	6WJN_EMD-21696_Y	298	6WJD_EMD-21691_GA
344	6WJN_EMD-21696_X	299	6WJD_EMD-21691_FA
345		345	
346	6WJN_EMD-21696_V	301	6WJD_EMD-21691_DA
347	6WJN_EMD-21696_U	303	6WJD_EMD-21691_CA
348		348	
349	6WJN_EMD-21696_B	313	6WJD_EMD-21691_B
350	6WJN_EMD-21696_S	305	6WJD_EMD-21691_AA
351	6WJN_EMD-21696_R	306	6WJD_EMD-21691_Z
352	6WJN_EMD-21696_Q	307	6WJD_EMD-21691_Y
353	6WJN_EMD-21696_P	308	6WJD_EMD-21691_X
354	6WJN_EMD-21696_O	309	6WJD_EMD-21691_W
355	6WJN_EMD-21696_N	310	6WJD_EMD-21691_V
356	6WJN_EMD-21696_M	311	6WJD_EMD-21691_U
357	6WJN_EMD-21696_L	312	6WJD_EMD-21691_T
358	6WJN_EMD-21696_K	322	6WJD_EMD-21691_K
359		359	
360	6WJN_EMD-21696_A	324	6WJD_EMD-21691_A
361		361	
362		362	
363		363	
364	6WOV_EMD-21862_E	65	6PV6_EMD-20486_E
365	6X0V_EMD-21985_C	365	6X0V_EMD-21985_C
366	6X0V_EMD-21985_B	366	6X0V_EMD-21985_B
367	6X0V_EMD-21985_A	367	6X0V_EMD-21985_A
368	6X34_EMD-22017_B	368	6X34_EMD-22017_B
369	6X34_EMD-22017_A	65	6PV6_EMD-20486_E
370	6X36_EMD-22019_C	370	6X36_EMD-22019_C
371	6X36_EMD-22019_B	368	6X34_EMD-22017_B
372	6X36_EMD-22019_A	65	6PV6_EMD-20486_E
373		373	
374	6XF7_EMD-22165_A	374	6XF7_EMD-22165_A
375	6XF8_EMD-22166_I	375	6XF8_EMD-22166_I
376	6XF8_EMD-22166_G	374	6XF7_EMD-22165_A
377	6XF8_EMD-22166_F	377	6XF8_EMD-22166_F
378	6XF8_EMD-22166_B	378	6XF8_EMD-22166_B
379	6XF8_EMD-22166_A	379	6XF8_EMD-22166_A
380		380	
381		381	
382		382	
383		383	
384	6XKW_EMD-22227_H	384	6XKW_EMD-22227_H
385	6XKW_EMD-22227_G	385	6XKW_EMD-22227_G
386	6XKW_EMD-22227_F	386	6XKW_EMD-22227_F
387		387	
388		388	
389		389	
390	6XKW_EMD-22227_B	390	6XKW_EMD-22227_B
391	6XKW_EMD-22227_A	391	6XKW_EMD-22227_A
392	6XKX_EMD-22228_I	392	6XKX_EMD-22228_I
393	6XKX_EMD-22228_H	390	6XKW_EMD-22227_B
394	6XKX_EMD-22228_G	391	6XKW_EMD-22227_A
395	6XKX_EMD-22228_C	384	6XKW_EMD-22227_H
396	6XKX_EMD-22228_B	385	6XKW_EMD-22227_G
397	6XKX_EMD-22228_A	386	6XKW_EMD-22227_F
398	6XKZ_EMD-22230_I	392	6XKX_EMD-22228_I
399	6XKZ_EMD-22230_H	390	6XKW_EMD-22227_B
400	6XKZ_EMD-22230_G	391	6XKW_EMD-22227_A
401	6XKZ_EMD-22230_C	384	6XKW_EMD-22227_H
402	6XKZ_EMD-22230_B	385	6XKW_EMD-22227_G
403	6XKZ_EMD-22230_A	386	6XKW_EMD-22227_F
404		404	
405		405	
406		406	
407		407	
408		408	
409		409	
410		410	
411		411	
412		412	
413		413	
414		414	
415		415	
416		416	
417		417	
418		418	
419		419	
420		420	
421		421	
422		422	
423		423	
424		424	
425		425	
426		426	
427		427	
428		428	
429		429	
430		430	
431	6Y92_EMD-10732_C	431	6Y92_EMD-10732_C
432	6Y92_EMD-10732_B	432	6Y92_EMD-10732_B
433		433	
434	6Y9V_EMD-10738_G	434	6Y9V_EMD-10738_G
435	6Y9V_EMD-10738_A	86	6SKM_EMD-10228_A
436	6Y9Y_EMD-10741_G	434	6Y9V_EMD-10738_G
437	6Y9Y_EMD-10741_A	86	6SKM_EMD-10228_A
438	6Y9Z_EMD-10742_G	434	6Y9V_EMD-10738_G
439	6Y9Z_EMD-10742_A	86	6SKM_EMD-10228_A
440		440	
441		441	
442		442	
443	6YRG_EMD-10889_A	443	6YRG_EMD-10889_A
444		444	
445	6YVD_EMD-10944_D	445	6YVD_EMD-10944_D
446	6YVD_EMD-10944_C	446	6YVD_EMD-10944_C
447		447	
448	6YVD_EMD-10944_A	448	6YVD_EMD-10944_A
449	6YVU_EMD-10951_D	449	6YVU_EMD-10951_D
450	6YVU_EMD-10951_C	448	6YVD_EMD-10944_A
451	6YVU_EMD-10951_B	445	6YVD_EMD-10944_D
452	6YVU_EMD-10951_A	446	6YVD_EMD-10944_C
453	6YVV_EMD-10952_D	449	6YVU_EMD-10951_D
454	6YVV_EMD-10952_C	448	6YVD_EMD-10944_A
455	6YVV_EMD-10952_B	445	6YVD_EMD-10944_D
456	6YVV_EMD-10952_A	446	6YVD_EMD-10944_C
457		457	
458		458	
459		459	
460		460	
461		461	
462		462	
463		463	
464		464	
465		465	
466	6Z2K_EMD-11042_A	466	6Z2K_EMD-11042_A
467		467	
468		468	
469		469	
470		470	
471		471	
472		472	
473		473	
474		474	
475		475	
476		476	
477	6Z47_EMD-11069_E	477	6Z47_EMD-11069_E
478	6Z47_EMD-11069_C	478	6Z47_EMD-11069_C
479		479	
480		480	
481		481	
482		482	
483	6ZDG_EMD-11173_C	483	6ZDG_EMD-11173_C
484	6ZDG_EMD-11173_B	484	6ZDG_EMD-11173_B
485	6ZDG_EMD-11173_A	485	6ZDG_EMD-11173_A
486	6ZDJ_EMD-11176_G	434	6Y9V_EMD-10738_G
487	6ZDJ_EMD-11176_A	86	6SKM_EMD-10228_A
488		488	
489	6ZGA_EMD-11199_G	489	6ZGA_EMD-11199_G
490		490	
491	6ZGA_EMD-11199_C	489	6ZGA_EMD-11199_G
492		492	
493		493	
494	6ZGH_EMD-11206_A	494	6ZGH_EMD-11206_A
495		495	
496	6ZIU_EMD-11230_H	496	6ZIU_EMD-11230_H
497		497	
498		498	
499	6ZIU_EMD-11230_E	499	6ZIU_EMD-11230_E
500	6ZIU_EMD-11230_D	500	6ZIU_EMD-11230_D
501		501	
502		502	
503		503	
504		504	
505		505	
506	6ZJN_EMD-11237_I	506	6ZJN_EMD-11237_I
507	6ZJN_EMD-11237_H	507	6ZJN_EMD-11237_H
508	6ZJN_EMD-11237_G	508	6ZJN_EMD-11237_G
509	6ZJN_EMD-11237_F	509	6ZJN_EMD-11237_F
510	6ZJN_EMD-11237_E	510	6ZJN_EMD-11237_E
511	6ZJN_EMD-11237_D	511	6ZJN_EMD-11237_D
512	6ZJN_EMD-11237_C	512	6ZJN_EMD-11237_C
513	6ZJN_EMD-11237_B	513	6ZJN_EMD-11237_B
514	6ZJN_EMD-11237_O	514	6ZJN_EMD-11237_O
515	6ZJN_EMD-11237_N	515	6ZJN_EMD-11237_N
516	6ZJN_EMD-11237_M	516	6ZJN_EMD-11237_M
517	6ZJN_EMD-11237_L	517	6ZJN_EMD-11237_L
518	6ZJN_EMD-11237_K	518	6ZJN_EMD-11237_K
519	6ZJN_EMD-11237_J	519	6ZJN_EMD-11237_J
520	6ZJN_EMD-11237_A	520	6ZJN_EMD-11237_A
521	6ZJY_EMD-11238_I	506	6ZJN_EMD-11237_I
522	6ZJY_EMD-11238_H	507	6ZJN_EMD-11237_H
523	6ZJY_EMD-11238_G	508	6ZJN_EMD-11237_G
524	6ZJY_EMD-11238_F	509	6ZJN_EMD-11237_F
525	6ZJY_EMD-11238_E	510	6ZJN_EMD-11237_E
526	6ZJY_EMD-11238_D	511	6ZJN_EMD-11237_D
527	6ZJY_EMD-11238_C	512	6ZJN_EMD-11237_C
528	6ZJY_EMD-11238_B	513	6ZJN_EMD-11237_B
529	6ZJY_EMD-11238_O	514	6ZJN_EMD-11237_O
530	6ZJY_EMD-11238_N	515	6ZJN_EMD-11237_N
531	6ZJY_EMD-11238_M	516	6ZJN_EMD-11237_M
532	6ZJY_EMD-11238_L	517	6ZJN_EMD-11237_L
533	6ZJY_EMD-11238_K	518	6ZJN_EMD-11237_K
534	6ZJY_EMD-11238_J	519	6ZJN_EMD-11237_J
535	6ZJY_EMD-11238_A	520	6ZJN_EMD-11237_A
536		536	
537		537	
538		538	
539		539	
540	6ZNA_EMD-0667_N	499	6ZIU_EMD-11230_E
541	6ZNA_EMD-0667_M	500	6ZIU_EMD-11230_D
542		542	
543	6ZNA_EMD-0667_K	496	6ZIU_EMD-11230_H
544		544	
545		545	
546		546	
547		547	
548	6ZNN_EMD-11318_K	548	6ZNN_EMD-11318_K
549	6ZNN_EMD-11318_I	549	6ZNN_EMD-11318_I
550	6ZNN_EMD-11318_H	550	6ZNN_EMD-11318_H
551	6ZNN_EMD-11318_E	551	6ZNN_EMD-11318_E
552	6ZNN_EMD-11318_D	552	6ZNN_EMD-11318_D
553	6ZNN_EMD-11318_B	1	6KN7_EMD-0728_A
554	6ZNN_EMD-11318_A	554	6ZNN_EMD-11318_A
555	6ZNO_EMD-11319_A	554	6ZNN_EMD-11318_A
556	6ZNO_EMD-11319_B	1	6KN7_EMD-0728_A
557	6ZNO_EMD-11319_E	551	6ZNN_EMD-11318_E
558	6ZNO_EMD-11319_F	550	6ZNN_EMD-11318_H
559	6ZNO_EMD-11319_G	549	6ZNN_EMD-11318_I
560	6ZNO_EMD-11319_H	548	6ZNN_EMD-11318_K
561	6ZNO_EMD-11319_D	552	6ZNN_EMD-11318_D
562	6ZPG_EMD-11338_A	562	6ZPG_EMD-11338_A
563	6ZPH_EMD-11339_B	563	6ZPH_EMD-11339_B
564	6ZPH_EMD-11339_A	562	6ZPG_EMD-11338_A
565	6ZPI_EMD-11340_C	104	6TA4_EMD-10422_A
566	6ZPI_EMD-11340_B	103	6TA4_EMD-10422_B
567	6ZPI_EMD-11340_A	563	6ZPH_EMD-11339_B
568		568	
569		569	
570	6ZTS_EMD-22165_A	374	6XF7_EMD-22165_A
571	6ZTY_EMD-22164_D	378	6XF8_EMD-22166_B
572	6ZTY_EMD-22164_A	379	6XF8_EMD-22166_A
573	6ZTZ_EMD-22166_A	374	6XF7_EMD-22165_A
574	6ZTZ_EMD-22166_B	374	6XF7_EMD-22165_A
575	6ZTZ_EMD-22166_D	379	6XF8_EMD-22166_A
576	6ZTZ_EMD-22166_G	375	6XF8_EMD-22166_I
577	6ZTZ_EMD-22166_I	378	6XF8_EMD-22166_B
578	6ZTZ_EMD-22166_C	377	6XF8_EMD-22166_F
579	6ZVS_EMD-11469_A	579	6ZVS_EMD-11469_A
580	6ZVT_EMD-11470_A	579	6ZVS_EMD-11469_A
581	6ZW4_EMD-11478_A	579	6ZVS_EMD-11469_A
582	6ZW5_EMD-11481_A	579	6ZVS_EMD-11469_A
583	6ZW6_EMD-11482_A	579	6ZVS_EMD-11469_A
584	7A4H_EMD-11633_A	584	7A4H_EMD-11633_A
585	7A4I_EMD-11634_A	584	7A4H_EMD-11633_A
586	7A93_EMD-11683_A	494	6ZGH_EMD-11206_A
587	7A96_EMD-11686_D	41	6M1D_EMD-30041_B
588	7A96_EMD-11686_A	494	6ZGH_EMD-11206_A
589	7A98_EMD-11688_B	41	6M1D_EMD-30041_B
590	7A98_EMD-11688_A	494	6ZGH_EMD-11206_A
591		591	
592		592	
593		593	
594	7AO8_EMD-11837_D	466	6Z2K_EMD-11042_A
595	7AO8_EMD-11837_B	595	7AO8_EMD-11837_B
596	7AO8_EMD-11837_A	596	7AO8_EMD-11837_A
597	7AO9_EMD-11838_C	466	6Z2K_EMD-11042_A
598	7AO9_EMD-11838_B	595	7AO8_EMD-11837_B
599	7AO9_EMD-11838_A	596	7AO8_EMD-11837_A
600		600	
601		601	
602		602	
603		603	
604		604	
605		605	
606		606	
607		607	
608		608	
609		609	
610		610	
611		611	
612		612	
613		613	
614		614	
615		615	
616		616	
617		617	
618	7ASL_EMD-11897_A	86	6SKM_EMD-10228_A
619	7ATA_EMD-11911_A	619	7ATA_EMD-11911_A
620		620	
621		621	
622	7B6E_EMD-12053_A	622	7B6E_EMD-12053_A
623	7B6H_EMD-12054_A	623	7B6H_EMD-12054_A
624		624	
625		625	
626		626	
627		627	
628		628	
629		629	
630		630	
631	7B6R_EMD-12056_B	623	7B6H_EMD-12054_A
632	7B6R_EMD-12056_A	622	7B6E_EMD-12053_A
633	7B6Y_EMD-12058_A	622	7B6E_EMD-12053_A
634	7B6Z_EMD-12060_A	623	7B6H_EMD-12054_A
635		635	
636		636	
637		637	
638		638	
639		639	
640		640	
641		641	
642	7BUA_EMD-30193_H	642	7BUA_EMD-30193_H
643	7BUA_EMD-30193_G	643	7BUA_EMD-30193_G
